run_id,strategy,global_fold,seed,protocol,selected_epoch,validation_macro_domain_f1,checkpoint_path,checkpoint_sha256,pair_id
pcstev2_final_v1_s0_gf1_s42,S0,1,42,global_v2_final_s0s1_v1,20,0.97661128283534,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf1_s42/best.pt,9b0e21d33d9dac3957cb37ae937854804c89bf8510ff43732d41fcc6fda20956,final_s0_s1.v1|gf1|s42
pcstev2_final_v1_s1_gf1_s42,S1,1,42,global_v2_final_s0s1_v1,17,0.9868458425449396,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s42/best.pt,7d6cea73ba61b3da23c73be14a8edae048276e88162517ee8d72a7c2a133ba0c,final_s0_s1.v1|gf1|s42
pcstev2_final_v1_s0_gf1_s1337,S0,1,1337,global_v2_final_s0s1_v1,12,0.9631221295302685,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf1_s1337/best.pt,c57ed240bcc09edd3c5f7d3e792483280075de585454978f3070d2a8f97c8558,final_s0_s1.v1|gf1|s1337
pcstev2_final_v1_s1_gf1_s1337,S1,1,1337,global_v2_final_s0s1_v1,22,0.9802577166808426,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s1337/best.pt,a14075f0234c232f98d9acb0b02f6094b36c6990a85f5b44c4602c3a95920799,final_s0_s1.v1|gf1|s1337
pcstev2_final_v1_s0_gf1_s2026,S0,1,2026,global_v2_final_s0s1_v1,7,0.9819630602936165,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf1_s2026/best.pt,2f7d852dafcd1f9e1390fa3901033695662efeb98ad91301a07c30556ae0e014,final_s0_s1.v1|gf1|s2026
pcstev2_final_v1_s1_gf1_s2026,S1,1,2026,global_v2_final_s0s1_v1,15,0.9718257879529507,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s2026/best.pt,cfb742f74eb4d55e8f7afceac78e176376b206619f07c6119d02d1d704cc94d2,final_s0_s1.v1|gf1|s2026
pcstev2_final_v1_s0_gf2_s42,S0,2,42,global_v2_final_s0s1_v1,30,0.9855142374232677,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf2_s42/best.pt,9e1a18e4308a42c8884b5cd7f2e00b9d6a9c5a6aa075b8ca3a5c926c8bd6c72f,final_s0_s1.v1|gf2|s42
pcstev2_final_v1_s1_gf2_s42,S1,2,42,global_v2_final_s0s1_v1,16,0.9780534725609579,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s42/best.pt,ce6becd8eb0a23a6c4e3c65a2ae8c88f02aff8101a7cb48721c17292170166c2,final_s0_s1.v1|gf2|s42
pcstev2_final_v1_s0_gf2_s1337,S0,2,1337,global_v2_final_s0s1_v1,27,0.9883484610699373,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf2_s1337/best.pt,1e7bdb654d1130c76aef470af2d809f4b5b0918f72a70673891c26e0ab76ade0,final_s0_s1.v1|gf2|s1337
pcstev2_final_v1_s1_gf2_s1337,S1,2,1337,global_v2_final_s0s1_v1,23,0.976303995163966,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s1337/best.pt,0e01d16be6a01b971aadcbf84df2960eb9e55435a6b3d617cf91367a27dd8a20,final_s0_s1.v1|gf2|s1337
pcstev2_final_v1_s0_gf2_s2026,S0,2,2026,global_v2_final_s0s1_v1,34,0.991020063476161,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf2_s2026/best.pt,a62a3ac2f852183d5fdaec72ea4512854162f827ba8bdb5582ecbe1a34a19550,final_s0_s1.v1|gf2|s2026
pcstev2_final_v1_s1_gf2_s2026,S1,2,2026,global_v2_final_s0s1_v1,17,0.9672445710612501,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s2026/best.pt,847b7190d095f8734eb4c2aecc5bce34cf05a4d7e587a9dc6f7e32a9e1ee92eb,final_s0_s1.v1|gf2|s2026
pcstev2_final_v1_s0_gf3_s42,S0,3,42,global_v2_final_s0s1_v1,26,0.9605954866569061,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf3_s42/best.pt,5fdb6b343c43e8db5b271a3f8aca1fb4454a8c461a00cae950d29ace40459d3f,final_s0_s1.v1|gf3|s42
pcstev2_final_v1_s1_gf3_s42,S1,3,42,global_v2_final_s0s1_v1,32,0.9806567946683948,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s42/best.pt,7ed58dacc4f7cdc35b4f313396a03b30dfe23d59e20cab1477d56335d8c13b89,final_s0_s1.v1|gf3|s42
pcstev2_final_v1_s0_gf3_s1337,S0,3,1337,global_v2_final_s0s1_v1,14,0.9514557059372233,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf3_s1337/best.pt,c9d1282f1f2f09a185ba92be48da738b468fec89f59b8706b79ecce8daca8c94,final_s0_s1.v1|gf3|s1337
pcstev2_final_v1_s1_gf3_s1337,S1,3,1337,global_v2_final_s0s1_v1,29,0.9592586369694797,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s1337/best.pt,9b0b6e7f60e06755382f48a40537d2c9860398b17e9bc68809876a6533052cb4,final_s0_s1.v1|gf3|s1337
pcstev2_final_v1_s0_gf3_s2026,S0,3,2026,global_v2_final_s0s1_v1,23,0.9582571996018912,results/pcste_v2/final_v1/pcstev2_final_v1_s0_gf3_s2026/best.pt,011f214eb0b62da8f33a93d069580f01ba955e85d44c72ef51d59947dc9c1f07,final_s0_s1.v1|gf3|s2026
pcstev2_final_v1_s1_gf3_s2026,S1,3,2026,global_v2_final_s0s1_v1,14,0.9692022412509442,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s2026/best.pt,57caf78847b988f0a46fea21260043422681c6b28af435b82a8e4a2b8d3eb515,final_s0_s1.v1|gf3|s2026
