recording_id,internal_variable_id,official_download_number,source_sha256_frozen,class,fault_type,diameter_mil,or_position_oclock,load_hp,rpm_in_file,n_samples,duration_s,group_A_recording,group_B_specimen_x_load,group_C1_installation,group_C2_specimen,specimen_identity_evidence
cwru_X122,X122,122,f392129bf3b43360,Ball,ball,7.0,,0,1796.0,244739,5.099,cwru_X122,cwru48k_B007_load0,cwru48k_B007,cwru48k_B007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X123,X123,123,a1932ec4bad24602,Ball,ball,7.0,,1,1772.0,487384,10.154,cwru_X123,cwru48k_B007_load1,cwru48k_B007,cwru48k_B007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X124,X124,124,88719243f1b7dbe7,Ball,ball,7.0,,2,1747.0,486804,10.142,cwru_X124,cwru48k_B007_load2,cwru48k_B007,cwru48k_B007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X125,X125,125,2607d0c291ed9a61,Ball,ball,7.0,,3,1721.0,488545,10.178,cwru_X125,cwru48k_B007_load3,cwru48k_B007,cwru48k_B007,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X189,X189,189,6fd84310f781e1ab,Ball,ball,14.0,,0,1797.0,249146,5.191,cwru_X189,cwru48k_B014_load0,cwru48k_B014,cwru48k_B014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X190,X190,190,ae5fb00ce1eeefa5,Ball,ball,14.0,,1,1772.0,486224,10.13,cwru_X190,cwru48k_B014_load1,cwru48k_B014,cwru48k_B014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X191,X191,191,bb39df077745821a,Ball,ball,14.0,,2,1748.0,487384,10.154,cwru_X191,cwru48k_B014_load2,cwru48k_B014,cwru48k_B014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X192,X192,192,099b7f3399d0ea81,Ball,ball,14.0,,3,1725.0,486804,10.142,cwru_X192,cwru48k_B014_load3,cwru48k_B014,cwru48k_B014,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X226,X226,226,fc78f08085760f2e,Ball,ball,21.0,,0,1797.0,243938,5.082,cwru_X226,cwru48k_B021_load0,cwru48k_B021,cwru48k_B021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X227,X227,227,c5c7aa64243ecd14,Ball,ball,21.0,,1,1774.0,486804,10.142,cwru_X227,cwru48k_B021_load1,cwru48k_B021,cwru48k_B021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X228,X228,228,ea819eb0404f76cc,Ball,ball,21.0,,2,1754.0,487384,10.154,cwru_X228,cwru48k_B021_load2,cwru48k_B021,cwru48k_B021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X229,X229,229,4fc20e3eeef375dc,Ball,ball,21.0,,3,1729.0,486804,10.142,cwru_X229,cwru48k_B021_load3,cwru48k_B021,cwru48k_B021,one seeded bearing per fault spec (welcome-page procedure text) + consecutive official numbering across the 4 loads
cwru_X097,X097,97,16bf48babcf1c7ac,Healthy,healthy,,,0,1796.0,243938,5.082,cwru_X097,cwru48k_Normal_load0,cwru48k_Normal,cwru48k_Normal,single healthy baseline set 97-100; no second healthy bearing documented
cwru_X098,X098,98,37e6612c05e65c41,Healthy,healthy,,,1,1772.0,483903,10.081,cwru_X098,cwru48k_Normal_load1,cwru48k_Normal,cwru48k_Normal,single healthy baseline set 97-100; no second healthy bearing documented
