dataset,file,sha256,payload_sha256,bytes,mtime_utc
CWRU,raw/ball/B007_0_DE12k.mat,b00628f8dd8d1d930af77fa465d1e5cdb385fe259489053f91f3680bda7f640e,d5e284616612e7e772d802156eeb9f59ed8b7c42990546171131eeb3973ee1de,2942112,2026-04-06T10:08:46+00:00
CWRU,raw/ball/B007_1_DE12k.mat,bc72d9df7668219e004a0f711232b23ec0aed393eb9bd8f9f5483426f6b51330,291d39e17bdc2f699618eb555e51f6f833e8dba0153ee1aab8c8743542d290de,2914248,2026-04-06T10:08:50+00:00
CWRU,raw/ball/B007_2_DE12k.mat,e0b7a584c49af52335ff0904a97d4afcf02d045625c582de63a7c85ce10b489c,131b4465fe039c2acf10f518121a47376e135821d4ac4f4bc74d4320cfc43ae2,2917752,2026-04-06T10:08:54+00:00
CWRU,raw/ball/B007_3_DE12k.mat,52f686e984ba8e9b04a047a57416271cdb322cee57ee105dce58926a24b966cb,d7c69c4a92164788d9390671f078a48de46780683dfa4592de8a1ee8fae5d6d0,2917752,2026-04-06T10:08:58+00:00
CWRU,raw/ball/B014_0_DE12k.mat,5bea2c60f177215ba3ec4ae287faf745d7e14aed1a12efe9e37b27c27044bafc,43a0bf6396d2dda19bfd1296bd01bfc5279583dd7f4c8da4a4480a5695aa63dd,2924712,2026-06-08T12:00:58+00:00
CWRU,raw/ball/B014_1_DE12k.mat,1b3b6f3ad38e891feaa8026fe957b34f62f9082785089cc74f6878acdfe88ec5,945ab904a330a6bedb0f252ffa58c23394ad48c6e290a74b9e17f62a749d88ac,2931672,2026-06-08T12:01:06+00:00
CWRU,raw/ball/B014_2_DE12k.mat,0f1338cce89beb5c8d8e5e154579bc576354e7c7d1617ebd1759662c6f3100b2,092bc475e22637096559ab1df5743ea40cb5087a8cd5acc44129a83fd0dd1a46,2928192,2026-06-08T12:01:10+00:00
CWRU,raw/ball/B014_3_DE12k.mat,1981614324d653c2522bea68fd4fd87e337495b117d12596db67abd1e10e7443,3d51d83ebcd2a573b0fcc53737a21a6614ba328db2a538df0f9c1cba22f00fbe,2931672,2026-06-08T12:01:14+00:00
CWRU,raw/ball/B021_0_DE12k.mat,fcc0ee740fa123b1f4683f555458891719efb2857afd9fdee63e8fde0ed14469,a530bd445e5a501293604106192f16d0ee4514352d66646f4b3bbcd77a949980,2928192,2026-06-08T12:01:20+00:00
CWRU,raw/ball/B021_1_DE12k.mat,7287410fd2217e3b332c5ab4732a68963be046d7d17bd40efa41cabe6a0514e5,d6e826b63e7fbb0489695428b234bcf89e3939a78ff85b14744dd98d71ae4200,2921232,2026-06-08T12:01:22+00:00
CWRU,raw/ball/B021_2_DE12k.mat,8a16894c2ff4d6bcdb9f4c345c0d5f13737b3bd6d15015d6b566c86e7a3ee7b7,3ac6ebf373412a282ea24592ca3542d1f9d79dc64c661960c89ec2699991cc91,2931672,2026-06-08T12:01:24+00:00
CWRU,raw/ball/B021_3_DE12k.mat,ece92fa141af03473fdfca80d00d9112472a20340224514e79979c6ddc97a6cf,9d45d10b8124b6bb7cfe1959ef1c400fc162833716fc5cb333e8d4cf5686340b,2931672,2026-06-08T12:01:28+00:00
CWRU,raw/ball/B028_0_DE12k.mat,37f3f8e0268a9cd7df8ff5e15e326be06ab099b2291a2282041d01bb89a7c924,4b1ff0482afd73c5948fae985896a8379d4959cea0eeed1b8a74bcfb5d2bd95c,966608,2026-06-08T12:01:30+00:00
CWRU,raw/ball/B028_1_DE12k.mat,b642c57602deaeecfa33291d9179a2d2c2d997e0c23b44598a3cdecb9533d3f1,bd2237b91fff09378b91febe88e6c26c8e7d39d90f4801bcfe7fddd9e0a76c37,971008,2026-06-08T12:01:32+00:00
CWRU,raw/ball/B028_2_DE12k.mat,9b1ce8c46b4df3c3a8ab5f18a3fceaa78b0c17904716abc1bf6066c7235a226c,74d27d9e3806df4c33db9e91eb16109b917b222e2cc44489fc423a5615800d95,968072,2026-06-08T12:01:34+00:00
CWRU,raw/ball/B028_3_DE12k.mat,ac958f7b5a1c00469849e6104a1869d75231cddd0742a39d36475fce589ee475,6c6261f3c4bfdec58726cad589a15d93519cdb0b64920bd51db592b1050155ce,968072,2026-06-08T12:01:36+00:00
CWRU,raw/inner_race/IR007_0_DE12k.mat,f80b0ea04fd06b372a0eaec7c056543ea37e4bb4727a5b173d2a5bacd2aa9cab,8cec686412bab69285335b3f5de682d706b654e45ce67e494144dab381144f21,2910768,2026-04-06T10:08:46+00:00
CWRU,raw/inner_race/IR007_1_DE12k.mat,e5cec7cdd138e6cd1deb9ed8634e5aaa9bc1bd7094ddc075bff606580eb6e883,4e78ad0cd864de17e9d09601edc6e2ef2a6e4ad6eacdfe4be2a3e3e62b1e9ce7,2928192,2026-04-06T10:08:50+00:00
CWRU,raw/inner_race/IR007_2_DE12k.mat,111ba8996a115684661a13c913bd74d8029a59294492f88aec7b03e175fdd388,1cb18c708d3a10b66d2d34c32c823186255e51e3d0175c243d427b5db01527a5,2931672,2026-04-06T10:08:52+00:00
CWRU,raw/inner_race/IR007_3_DE12k.mat,d415f0e65128bfa0b118c2051c988fb0dc6ce3e4c8aa45fdc5ad1d0967462e7d,fcbd4ca7405870b7179f4d75be4cd1d4c4b111b570387629f9d057d6487d3393,2950416,2026-04-06T10:08:56+00:00
