dataset,recording_id,group_id_candidate,physical_bearing_id,experiment_id,session_id,original_file,original_label,mapped_label_candidate,sampling_rate_hz,duration_seconds,n_samples,rpm,load,sensor_channel,fault_type,fault_severity,bearing_position,source_url,metadata_confidence,notes
CWRU,cwru_X118,cwru_B007_load0,cwru_DE_ball_007,cwru_B007_load0,,data/raw/ball/B007_0_DE12k.mat,B007,RollingElement,12000,10.21425,122571,1796.0,0hp,DE+FE+BA,ball,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 118.mat; rpm measured in-file
CWRU,cwru_X119,cwru_B007_load1,cwru_DE_ball_007,cwru_B007_load1,,data/raw/ball/B007_1_DE12k.mat,B007,RollingElement,12000,10.1175,121410,1772.0,1hp,DE+FE+BA,ball,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 119.mat; rpm measured in-file
CWRU,cwru_X120,cwru_B007_load2,cwru_DE_ball_007,cwru_B007_load2,,data/raw/ball/B007_2_DE12k.mat,B007,RollingElement,12000,10.129666666666667,121556,1748.0,2hp,DE+FE+BA,ball,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 120.mat; rpm measured in-file
CWRU,cwru_X121,cwru_B007_load3,cwru_DE_ball_007,cwru_B007_load3,,data/raw/ball/B007_3_DE12k.mat,B007,RollingElement,12000,10.129666666666667,121556,1722.0,3hp,DE+FE+BA,ball,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 121.mat; rpm measured in-file
CWRU,cwru_X185,cwru_B014_load0,cwru_DE_ball_014,cwru_B014_load0,,data/raw/ball/B014_0_DE12k.mat,B014,RollingElement,12000,10.153833333333333,121846,1796.0,0hp,DE+FE+BA,ball,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 185.mat; rpm measured in-file
CWRU,cwru_X186,cwru_B014_load1,cwru_DE_ball_014,cwru_B014_load1,,data/raw/ball/B014_1_DE12k.mat,B014,RollingElement,12000,10.178,122136,1772.0,1hp,DE+FE+BA,ball,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 186.mat; rpm measured in-file
CWRU,cwru_X187,cwru_B014_load2,cwru_DE_ball_014,cwru_B014_load2,,data/raw/ball/B014_2_DE12k.mat,B014,RollingElement,12000,10.165916666666666,121991,1749.0,2hp,DE+FE+BA,ball,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 187.mat; rpm measured in-file
CWRU,cwru_X188,cwru_B014_load3,cwru_DE_ball_014,cwru_B014_load3,,data/raw/ball/B014_3_DE12k.mat,B014,RollingElement,12000,10.178,122136,1724.0,3hp,DE+FE+BA,ball,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 188.mat; rpm measured in-file
CWRU,cwru_X222,cwru_B021_load0,cwru_DE_ball_021,cwru_B021_load0,,data/raw/ball/B021_0_DE12k.mat,B021,RollingElement,12000,10.165916666666666,121991,1796.0,0hp,DE+FE+BA,ball,21 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 222.mat; rpm measured in-file
CWRU,cwru_X223,cwru_B021_load1,cwru_DE_ball_021,cwru_B021_load1,,data/raw/ball/B021_1_DE12k.mat,B021,RollingElement,12000,10.14175,121701,1774.0,1hp,DE+FE+BA,ball,21 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 223.mat; rpm measured in-file
CWRU,cwru_X224,cwru_B021_load2,cwru_DE_ball_021,cwru_B021_load2,,data/raw/ball/B021_2_DE12k.mat,B021,RollingElement,12000,10.178,122136,1754.0,2hp,DE+FE+BA,ball,21 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 224.mat; rpm measured in-file
CWRU,cwru_X225,cwru_B021_load3,cwru_DE_ball_021,cwru_B021_load3,,data/raw/ball/B021_3_DE12k.mat,B021,RollingElement,12000,10.178,122136,1729.0,3hp,DE+FE+BA,ball,21 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 225.mat; rpm measured in-file
CWRU,cwru_X048,cwru_B028_load0,cwru_DE_ball_028,cwru_B028_load0,,data/raw/ball/B028_0_DE12k.mat,B028,RollingElement,12000,10.06675,120801,1797.0,0hp,DE,ball,28 mil,drive_end,https://engineering.case.edu/bearingdatacenter,derived,canonical file 048.mat; rpm nominal for 0 hp
CWRU,cwru_X049,cwru_B028_load1,cwru_DE_ball_028,cwru_B028_load1,,data/raw/ball/B028_1_DE12k.mat,B028,RollingElement,12000,10.112583333333333,121351,1772.0,1hp,DE,ball,28 mil,drive_end,https://engineering.case.edu/bearingdatacenter,derived,canonical file 049.mat; rpm nominal for 1 hp
CWRU,cwru_X050,cwru_B028_load2,cwru_DE_ball_028,cwru_B028_load2,,data/raw/ball/B028_2_DE12k.mat,B028,RollingElement,12000,10.082,120984,1750.0,2hp,DE,ball,28 mil,drive_end,https://engineering.case.edu/bearingdatacenter,derived,canonical file 050.mat; rpm nominal for 2 hp
CWRU,cwru_X051,cwru_B028_load3,cwru_DE_ball_028,cwru_B028_load3,,data/raw/ball/B028_3_DE12k.mat,B028,RollingElement,12000,10.082,120984,1730.0,3hp,DE,ball,28 mil,drive_end,https://engineering.case.edu/bearingdatacenter,derived,canonical file 051.mat; rpm nominal for 3 hp
CWRU,cwru_X105,cwru_IR007_load0,cwru_DE_inner_race_007,cwru_IR007_load0,,data/raw/inner_race/IR007_0_DE12k.mat,IR007,InnerRace,12000,10.105416666666667,121265,1797.0,0hp,DE+FE+BA,inner_race,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 105.mat; rpm measured in-file
CWRU,cwru_X106,cwru_IR007_load1,cwru_DE_inner_race_007,cwru_IR007_load1,,data/raw/inner_race/IR007_1_DE12k.mat,IR007,InnerRace,12000,10.165916666666666,121991,1772.0,1hp,DE+FE+BA,inner_race,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 106.mat; rpm measured in-file
CWRU,cwru_X107,cwru_IR007_load2,cwru_DE_inner_race_007,cwru_IR007_load2,,data/raw/inner_race/IR007_2_DE12k.mat,IR007,InnerRace,12000,10.178,122136,1748.0,2hp,DE+FE+BA,inner_race,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 107.mat; rpm measured in-file
CWRU,cwru_X108,cwru_IR007_load3,cwru_DE_inner_race_007,cwru_IR007_load3,,data/raw/inner_race/IR007_3_DE12k.mat,IR007,InnerRace,12000,10.243083333333333,122917,1721.0,3hp,DE+FE+BA,inner_race,7 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 108.mat; rpm measured in-file
CWRU,cwru_X169,cwru_IR014_load0,cwru_DE_inner_race_014,cwru_IR014_load0,,data/raw/inner_race/IR014_0_DE12k.mat,IR014,InnerRace,12000,10.153833333333333,121846,1796.0,0hp,DE+FE+BA,inner_race,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 169.mat; rpm measured in-file
CWRU,cwru_X170,cwru_IR014_load1,cwru_DE_inner_race_014,cwru_IR014_load1,,data/raw/inner_race/IR014_1_DE12k.mat,IR014,InnerRace,12000,10.153833333333333,121846,1774.0,1hp,DE+FE+BA,inner_race,14 mil,drive_end,https://engineering.case.edu/bearingdatacenter,documented,canonical file 170.mat; rpm measured in-file
