methodology_version,fold_id,dataset,split,recording_id,group_id,original_label,mapped_label_if_applicable,grouping_type,source_file,sampling_rate_hz,rpm,load,fault_type,fault_severity,bearing_position,session,experiment_id,temporal_block_id,temporal_start_sample,temporal_end_sample,guard_before,guard_after,is_usable,notes
methodology_v2.part2.v1,2,CWRU,test,cwru_X109,cwru48k_IR007,IR007,InnerRace,physical_specimen_across_loads,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,48000,1796.0,0hp,inner_race,7 mil,drive_end,,cwru_IR007_load0,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,test,cwru_X110,cwru48k_IR007,IR007,InnerRace,physical_specimen_across_loads,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,48000,1772.0,1hp,inner_race,7 mil,drive_end,,cwru_IR007_load1,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,test,cwru_X111,cwru48k_IR007,IR007,InnerRace,physical_specimen_across_loads,data/raw_cwru_48k/inner_race/IR007_2_DE48k.mat,48000,1748.0,2hp,inner_race,7 mil,drive_end,,cwru_IR007_load2,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,test,cwru_X112,cwru48k_IR007,IR007,InnerRace,physical_specimen_across_loads,data/raw_cwru_48k/inner_race/IR007_3_DE48k.mat,48000,1721.0,3hp,inner_race,7 mil,drive_end,,cwru_IR007_load3,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,validation,cwru_X122,cwru48k_B007,B007,RollingElement,physical_specimen_across_loads,data/raw_cwru_48k/ball/B007_0_DE48k.mat,48000,1796.0,0hp,ball,7 mil,drive_end,,cwru_B007_load0,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,validation,cwru_X123,cwru48k_B007,B007,RollingElement,physical_specimen_across_loads,data/raw_cwru_48k/ball/B007_1_DE48k.mat,48000,1772.0,1hp,ball,7 mil,drive_end,,cwru_B007_load1,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,validation,cwru_X124,cwru48k_B007,B007,RollingElement,physical_specimen_across_loads,data/raw_cwru_48k/ball/B007_2_DE48k.mat,48000,1747.0,2hp,ball,7 mil,drive_end,,cwru_B007_load2,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,validation,cwru_X125,cwru48k_B007,B007,RollingElement,physical_specimen_across_loads,data/raw_cwru_48k/ball/B007_3_DE48k.mat,48000,1721.0,3hp,ball,7 mil,drive_end,,cwru_B007_load3,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,train,cwru_X135,cwru48k_OR007,OR007@6,OuterRace,physical_specimen_across_loads,data/raw_cwru_48k/outer_race/OR007@6_0_DE48k.mat,48000,1796.0,0hp,outer_race,7 mil,drive_end,,cwru_OR007@6_load0,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
methodology_v2.part2.v1,2,CWRU,train,cwru_X136,cwru48k_OR007,OR007@6,OuterRace,physical_specimen_across_loads,data/raw_cwru_48k/outer_race/OR007@6_1_DE48k.mat,48000,1774.0,1hp,outer_race,7 mil,drive_end,,cwru_OR007@6_load1,,,,,,True,"OR clock positions merged into specimen (approved conservative rule, CWRU_GROUPING_RECHECK.md)"
