dataset,rpm_basis,window_s,rpm_min,rpm_median,rpm_max,rot_min,rot_median,rot_max
CWRU,shaft RPM (documented),0.25,1718.0,1762.0,1797.0,7.16,7.34,7.49
CWRU,shaft RPM (documented),0.5,1718.0,1762.0,1797.0,14.32,14.68,14.98
CWRU,shaft RPM (documented),1.0,1718.0,1762.0,1797.0,28.63,29.37,29.95
CWRU,shaft RPM (documented),2.0,1718.0,1762.0,1797.0,57.27,58.73,59.9
JNU,shaft RPM (documented),0.25,600.0,800.0,1000.0,2.5,3.33,4.17
JNU,shaft RPM (documented),0.5,600.0,800.0,1000.0,5.0,6.67,8.33
JNU,shaft RPM (documented),1.0,600.0,800.0,1000.0,10.0,13.33,16.67
JNU,shaft RPM (documented),2.0,600.0,800.0,1000.0,20.0,26.67,33.33
HIT,LP shaft RPM,0.25,1000.0,3650.0,5000.0,4.17,15.21,20.83
HIT,LP shaft RPM,0.5,1000.0,3650.0,5000.0,8.33,30.42,41.67
HIT,LP shaft RPM,1.0,1000.0,3650.0,5000.0,16.67,60.83,83.33
HIT,LP shaft RPM,2.0,1000.0,3650.0,5000.0,33.33,121.67,166.67
HIT,relative HP-LP RPM (inter-shaft race speed),0.25,200.0,840.0,2400.0,0.83,3.5,10.0
HIT,relative HP-LP RPM (inter-shaft race speed),0.5,200.0,840.0,2400.0,1.67,7.0,20.0
HIT,relative HP-LP RPM (inter-shaft race speed),1.0,200.0,840.0,2400.0,3.33,14.0,40.0
HIT,relative HP-LP RPM (inter-shaft race speed),2.0,200.0,840.0,2400.0,6.67,28.0,80.0
MAFAULDA,shaft RPM (documented),0.25,725.0,2162.7,3735.6,3.02,9.01,15.56
MAFAULDA,shaft RPM (documented),0.5,725.0,2162.7,3735.6,6.04,18.02,31.13
MAFAULDA,shaft RPM (documented),1.0,725.0,2162.7,3735.6,12.08,36.04,62.26
MAFAULDA,shaft RPM (documented),2.0,725.0,2162.7,3735.6,24.17,72.09,124.52
