logical_group_id,session,speed_group,label,channel,source_file,ordered_fragment_ids,fragment_length_samples,n_fragments,cumulative_offsets,total_stream_samples,native_sampling_rate_hz
hit_data1_rec00,hit_data1,hit_data1_lp1000_hp1200,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec01,hit_data1,hit_data1_lp1500_hp1800,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec02,hit_data1,hit_data1_lp2000_hp2400,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec03,hit_data1,hit_data1_lp2500_hp3000,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec04,hit_data1,hit_data1_lp3000_hp3600,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec05,hit_data1,hit_data1_lp3500_hp4200,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec06,hit_data1,hit_data1_lp3600_hp4320,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec07,hit_data1,hit_data1_lp3700_hp4440,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec08,hit_data1,hit_data1_lp3800_hp4560,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
hit_data1_rec09,hit_data1,hit_data1_lp3900_hp4680,0,ch3,data/raw_hit/gdrive_full/HIT-dataset/data1.npy,"162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179",20480,18,"0,20480,40960,61440,81920,102400,122880,143360,163840,184320,204800,225280,245760,266240,286720,307200,327680,348160",368640,25000
