recording_id,anchor_sample,native_sampling_rate_hz,guard_start_sample,guard_end_sample,guard_duration_samples,guard_duration_seconds,affected_blocks,part2_anchor_id
jnu_ib1000_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ib1000_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ib1000_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ib1000_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_ib600_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ib600_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ib600_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ib600_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_ib800_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ib800_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ib800_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ib800_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_n1000_3_2,300300,50000,275300,325300,50000,1.0,"A,B",GUARD_AB
jnu_n1000_3_2,600600,50000,575600,625600,50000,1.0,"B,C",GUARD_BC
jnu_n1000_3_2,900900,50000,875900,925900,50000,1.0,"C,D",GUARD_CD
jnu_n1000_3_2,1201200,50000,1176200,1226200,50000,1.0,"D,E",GUARD_DE
jnu_n600_3_2,300300,50000,275300,325300,50000,1.0,"A,B",GUARD_AB
jnu_n600_3_2,600600,50000,575600,625600,50000,1.0,"B,C",GUARD_BC
jnu_n600_3_2,900900,50000,875900,925900,50000,1.0,"C,D",GUARD_CD
jnu_n600_3_2,1201200,50000,1176200,1226200,50000,1.0,"D,E",GUARD_DE
jnu_n800_3_2,300300,50000,275300,325300,50000,1.0,"A,B",GUARD_AB
jnu_n800_3_2,600600,50000,575600,625600,50000,1.0,"B,C",GUARD_BC
jnu_n800_3_2,900900,50000,875900,925900,50000,1.0,"C,D",GUARD_CD
jnu_n800_3_2,1201200,50000,1176200,1226200,50000,1.0,"D,E",GUARD_DE
jnu_ob1000_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ob1000_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ob1000_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ob1000_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_ob600_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ob600_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ob600_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ob600_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_ob800_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_ob800_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_ob800_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_ob800_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_tb1000_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_tb1000_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_tb1000_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_tb1000_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_tb600_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_tb600_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_tb600_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_tb600_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
jnu_tb800_2,100100,50000,75100,125100,50000,1.0,"A,B",GUARD_AB
jnu_tb800_2,200200,50000,175200,225200,50000,1.0,"B,C",GUARD_BC
jnu_tb800_2,300300,50000,275300,325300,50000,1.0,"C,D",GUARD_CD
jnu_tb800_2,400400,50000,375400,425400,50000,1.0,"D,E",GUARD_DE
