methodology_version,fold_id,dataset,split,window_id,group_id,recording_id,source_file,source_fragment_ids,original_label,mapped_label,channel,native_sampling_rate_hz,window_duration_seconds,stride_seconds,start_sample,end_sample,start_time_seconds,end_time_seconds,rpm,load,fault_type,fault_severity,session,speed_group,temporal_block_id,crosses_source_fragment_boundary,fragment_boundaries_crossed,parent_part2_identity,notes
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:0-48000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,0,48000,0.0,1.0,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:24000-72000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,24000,72000,0.5,1.5,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:48000-96000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,48000,96000,1.0,2.0,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:72000-120000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,72000,120000,1.5,2.5,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:96000-144000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,96000,144000,2.0,3.0,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:120000-168000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,120000,168000,2.5,3.5,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:144000-192000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,144000,192000,3.0,4.0,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:168000-216000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,168000,216000,3.5,4.5,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X109:DE:train:192000-240000,cwru48k_IR007,cwru_X109,data/raw_cwru_48k/inner_race/IR007_0_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,192000,240000,4.0,5.0,1796.0,0hp,inner_race,7 mil,,,,False,,CWRU:cwru_X109,
methodology_v2.part3b.v1,1,CWRU,train,f1:CWRU:cwru_X110:DE:train:0-48000,cwru48k_IR007,cwru_X110,data/raw_cwru_48k/inner_race/IR007_1_DE48k.mat,,IR007,InnerRace,DE,48000,1.0,0.5,0,48000,0.0,1.0,1772.0,1hp,inner_race,7 mil,,,,False,,CWRU:cwru_X110,
