fold,dataset,n_train_windows,n_frames,frames_per_bin,mean_of_bin_means,min_bin_std,max_bin_std,n_floored_bins
1,CWRU,320,58880,58880,0.523686,0.0026636780821301708,1.0665584097257372,0
1,HIT,2632,505344,505344,0.862168,0.18282729108346288,0.8698899913636478,0
1,JNU,120,23040,23040,1.151032,0.33251119205904855,0.9277204257019247,0
1,MAFAULDA,9828,1886976,1886976,1.158113,0.29694010421234956,1.4813144025986489,0
2,CWRU,307,56488,56488,0.470381,0.025959261288425982,1.386439478747722,0
2,HIT,2632,505344,505344,0.841605,0.18158473734621136,0.8240759268745037,0
2,JNU,108,20736,20736,1.136905,0.3172772005275526,0.8974893190917389,0
2,MAFAULDA,10026,1924992,1924992,1.159926,0.29875079148757056,1.4262802403240877,0
3,CWRU,198,36432,36432,0.349455,0.0027336313168013493,1.2761216441288927,0
3,HIT,2632,505344,505344,0.856495,0.18145166829364037,0.8303951462415425,0
3,JNU,120,23040,23040,1.15951,0.32230211637960043,0.8839973644048356,0
3,MAFAULDA,9900,1900800,1900800,1.161234,0.26511860787271535,1.4469245932722516,0
