fold,dataset,file,n_fft,hop,sampling_rate_hz,freq_bins,bin_spacing_hz,n_train_windows,n_frames,n_floored_bins,std_floor_rule,train_manifest_sha256,representation_spec_sha256
1,CWRU,normalizers/fold_1/cwru.npz,1024,256,48000,513,46.875,320,58880,0,std < 1e-06 -> denominator 1.0,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
1,HIT,normalizers/fold_1/hit.npz,512,128,25000,257,48.828125,2632,505344,0,std < 1e-06 -> denominator 1.0,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
1,JNU,normalizers/fold_1/jnu.npz,1024,256,50000,513,48.828125,120,23040,0,std < 1e-06 -> denominator 1.0,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
1,MAFAULDA,normalizers/fold_1/mafaulda.npz,1024,256,50000,513,48.828125,9828,1886976,0,std < 1e-06 -> denominator 1.0,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
2,CWRU,normalizers/fold_2/cwru.npz,1024,256,48000,513,46.875,307,56488,0,std < 1e-06 -> denominator 1.0,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
2,HIT,normalizers/fold_2/hit.npz,512,128,25000,257,48.828125,2632,505344,0,std < 1e-06 -> denominator 1.0,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
2,JNU,normalizers/fold_2/jnu.npz,1024,256,50000,513,48.828125,108,20736,0,std < 1e-06 -> denominator 1.0,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
2,MAFAULDA,normalizers/fold_2/mafaulda.npz,1024,256,50000,513,48.828125,10026,1924992,0,std < 1e-06 -> denominator 1.0,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
3,CWRU,normalizers/fold_3/cwru.npz,1024,256,48000,513,46.875,198,36432,0,std < 1e-06 -> denominator 1.0,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
3,HIT,normalizers/fold_3/hit.npz,512,128,25000,257,48.828125,2632,505344,0,std < 1e-06 -> denominator 1.0,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
3,JNU,normalizers/fold_3/jnu.npz,1024,256,50000,513,48.828125,120,23040,0,std < 1e-06 -> denominator 1.0,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
3,MAFAULDA,normalizers/fold_3/mafaulda.npz,1024,256,50000,513,48.828125,9900,1900800,0,std < 1e-06 -> denominator 1.0,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,1b2dff31c071d30db6380663fbbd4d6a1db08f41f2f1df382e0aee088a7deb47
