fold,dataset,freq_bins,time_frames,dtype,bin_spacing_hz,time_step_s
1,CWRU,513,184,float32,46.875,0.00533333
1,JNU,513,192,float32,48.828125,0.00512
1,HIT,257,192,float32,48.828125,0.00512
1,MAFAULDA,513,192,float32,48.828125,0.00512
2,CWRU,513,184,float32,46.875,0.00533333
2,JNU,513,192,float32,48.828125,0.00512
2,HIT,257,192,float32,48.828125,0.00512
2,MAFAULDA,513,192,float32,48.828125,0.00512
3,CWRU,513,184,float32,46.875,0.00533333
3,JNU,513,192,float32,48.828125,0.00512
3,HIT,257,192,float32,48.828125,0.00512
3,MAFAULDA,513,192,float32,48.828125,0.00512
