window_id,dataset,class,strategy,post_mean,post_std,peak_contrast_pre,peak_contrast_post,freq_profile_corr_pre_post,temporal_profile_corr_pre_post,n1_window_floored
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,N1,-0.0,1.0,3.326,3.326,1.0,1.0,False
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,N2,1.1488,1.2851,3.326,3.197,0.0976,0.8146,
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,N1,-0.0,1.0,3.562,3.562,1.0,1.0,False
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,N2,0.0833,0.7677,3.562,2.781,0.3412,0.6966,
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,N1,0.0,1.0,3.594,3.594,1.0,1.0,False
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,N2,0.0576,0.7629,3.594,2.69,0.3578,0.6372,
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,N1,0.0,1.0,4.545,4.545,1.0,1.0,False
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,N2,-0.7053,0.4498,4.545,3.081,-0.0801,0.9594,
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,N1,0.0,1.0,4.596,4.596,1.0,1.0,False
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,N2,-0.7266,0.4573,4.596,3.3,-0.2019,0.9587,
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,N1,-0.0,1.0,4.478,4.478,1.0,1.0,False
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,N2,-0.6308,0.4839,4.478,3.359,-0.0348,0.9322,
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,OR021@6,N1,0.0,1.0,4.238,4.238,1.0,1.0,False
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,OR021@6,N2,0.1474,0.971,4.238,3.519,0.2835,0.9656,
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,OR021@6,N1,0.0,1.0,4.26,4.26,1.0,1.0,False
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,OR021@6,N2,0.1271,1.0393,4.26,3.769,0.1906,0.932,
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,OR021@6,N1,0.0,1.0,4.239,4.239,1.0,1.0,False
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,OR021@6,N2,0.0533,0.9217,4.239,3.487,0.2535,0.9284,
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,OR021@3,N1,0.0,1.0,3.903,3.903,1.0,1.0,False
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,OR021@3,N2,0.0051,0.8343,3.903,3.108,0.3521,0.9871,
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,OR021@3,N1,-0.0,1.0,3.815,3.815,1.0,1.0,False
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,OR021@3,N2,0.7215,1.2577,3.815,3.503,0.0654,0.9864,
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,OR021@3,N1,-0.0,1.0,3.774,3.774,1.0,1.0,False
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,OR021@3,N2,0.7673,1.2111,3.774,3.36,0.03,0.9697,
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,OR021@12,N1,0.0,1.0,4.512,4.512,1.0,1.0,False
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,OR021@12,N2,-0.3882,0.6756,4.512,4.051,0.2931,0.9437,
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,OR021@12,N1,0.0,1.0,4.481,4.481,1.0,1.0,False
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,OR021@12,N2,-0.4232,0.6191,4.481,3.709,0.213,0.9333,
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,OR021@12,N1,-0.0,1.0,4.432,4.432,1.0,1.0,False
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,OR021@12,N2,-0.4464,0.6037,4.432,3.706,0.1757,0.9242,
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,0,N1,-0.0,1.0,3.36,3.36,1.0,1.0,False
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,0,N2,-0.1042,0.9523,3.36,2.665,0.6815,0.9402,
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,0,N1,-0.0,1.0,3.381,3.381,1.0,1.0,False
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,0,N2,-0.0705,0.9147,3.381,2.704,0.6503,0.9351,
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,0,N1,0.0,1.0,3.565,3.565,1.0,1.0,False
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,0,N2,0.2923,1.0691,3.565,2.358,0.2936,0.9713,
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,1,N1,0.0,1.0,3.718,3.718,1.0,1.0,False
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,1,N2,-0.6934,0.925,3.718,3.546,0.9046,0.9685,
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,1,N1,0.0,1.0,3.273,3.273,1.0,1.0,False
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,1,N2,-0.121,0.8862,3.273,2.692,0.6495,0.9576,
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,1,N1,-0.0,1.0,3.652,3.652,1.0,1.0,False
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,1,N2,-0.0338,0.9002,3.652,2.57,0.4413,0.9441,
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,2,N1,-0.0,1.0,2.926,2.926,1.0,1.0,False
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,2,N2,-0.322,1.0155,2.926,2.901,0.8969,0.9669,
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,2,N1,-0.0,1.0,3.512,3.512,1.0,1.0,False
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,2,N2,0.0854,0.9519,3.512,2.512,0.5996,0.9595,
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,2,N1,-0.0,1.0,3.866,3.866,1.0,1.0,False
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,2,N2,0.2028,0.9692,3.866,2.434,0.4479,0.9404,
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,ib,N1,0.0,1.0,2.819,2.819,1.0,1.0,False
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,ib,N2,0.6055,1.0267,2.819,2.649,0.0601,0.9993,
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,ib,N1,-0.0,1.0,3.497,3.497,1.0,1.0,False
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,ib,N2,-0.525,0.773,3.497,3.413,0.3118,0.9993,
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,ib,N1,-0.0,1.0,3.091,3.091,1.0,1.0,False
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,ib,N2,0.1788,0.9985,3.091,2.984,0.1196,0.9993,
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,n,N1,0.0,1.0,2.632,2.632,1.0,1.0,False
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,n,N2,0.1842,0.7396,2.632,2.268,0.212,0.995,
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,n,N1,-0.0,1.0,3.448,3.448,1.0,1.0,False
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,n,N2,-0.8367,0.5251,3.448,3.023,0.4718,0.9985,
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,n,N1,-0.0,1.0,2.763,2.763,1.0,1.0,False
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,n,N2,-0.2398,0.6275,2.763,2.206,0.4598,0.9931,
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,ob,N1,-0.0,1.0,1.888,1.888,1.0,1.0,False
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,ob,N2,1.1053,1.2195,1.888,1.938,0.7439,0.9993,
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,ob,N1,-0.0,1.0,2.276,2.276,1.0,1.0,False
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,ob,N2,0.1011,1.0977,2.276,2.413,0.7217,0.9995,
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,ob,N1,-0.0,1.0,1.821,1.821,1.0,1.0,False
