window_id,dataset,strategy,post_min,post_p1,post_p99,post_max,finite
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,N1,-0.773,-0.772,2.779,3.357,True
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,N2,-2.974,-0.995,5.112,9.713,True
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,N1,-0.688,-0.687,3.019,3.837,True
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,N2,-3.088,-1.31,2.106,4.377,True
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,N1,-0.683,-0.682,3.054,3.991,True
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,N2,-3.009,-1.377,1.989,4.118,True
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,N1,-0.517,-0.515,4.117,6.503,True
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,N2,-3.42,-1.834,0.644,2.471,True
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,N1,-0.519,-0.518,4.174,7.069,True
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,N2,-3.484,-1.851,0.752,3.691,True
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,N1,-0.537,-0.536,4.038,7.46,True
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,N2,-3.437,-1.735,0.938,4.179,True
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,N1,-0.623,-0.621,3.757,5.492,True
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,N2,-3.222,-1.275,3.333,6.722,True
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,N1,-0.622,-0.619,3.778,5.43,True
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,N2,-3.265,-1.333,3.777,9.882,True
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,N1,-0.616,-0.613,3.76,5.741,True
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,N2,-3.171,-1.337,3.045,5.946,True
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,N1,-0.628,-0.627,3.431,4.624,True
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,N2,-3.184,-1.477,2.45,7.177,True
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,N1,-0.688,-0.686,3.355,4.599,True
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,N2,-2.851,-1.115,4.9,10.159,True
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,N1,-0.697,-0.694,3.315,4.47,True
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,N2,-3.0,-1.088,4.641,9.331,True
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,N1,-0.526,-0.523,4.075,7.001,True
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,N2,-3.326,-1.558,2.204,5.572,True
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,N1,-0.528,-0.525,4.041,7.185,True
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,N2,-3.167,-1.504,1.745,5.307,True
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,N1,-0.529,-0.526,3.991,7.16,True
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,N2,-3.061,-1.521,1.67,4.574,True
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,N1,-1.392,-1.278,3.084,4.347,True
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,N2,-2.672,-1.826,2.335,4.542,True
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,N1,-1.464,-1.317,3.108,4.599,True
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,N2,-2.701,-1.785,2.311,3.596,True
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,N1,-1.806,-1.594,3.401,4.229,True
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,N2,-2.679,-1.857,2.774,5.185,True
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,N1,-1.046,-0.999,3.377,4.805,True
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,N2,-2.803,-2.064,2.374,3.706,True
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,N1,-1.452,-1.324,3.022,4.821,True
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,N2,-2.795,-1.8,2.195,4.385,True
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,N1,-1.545,-1.367,3.419,4.576,True
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,N2,-2.716,-1.848,2.223,4.924,True
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,N1,-1.24,-1.188,2.67,3.811,True
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,N2,-3.085,-1.889,2.427,4.219,True
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,N1,-1.581,-1.433,3.315,4.211,True
