window_id,boundary_sample_in_window,abs_jump,window_p999_absdiff,jump_ratio,n_frames_touching_boundary,max_frame_energy_zscore,mean_frame_energy_zscore,mean_boundary_frame_flatness,window_mean_flatness
f1:HIT:hit_data1_rec00:ch3:train:0-25000,20480,0.06315699780947592,0.5115400328347683,0.1234644285010489,4,1.731,0.776,0.7848,0.7884
f1:HIT:hit_data1_rec01:ch3:train:337500-362500,10660,0.35606685518005554,0.5142267934804358,0.6924315490630109,4,2.576,1.072,0.7925,0.7961
f1:HIT:hit_data1_rec05:ch3:train:262500-287500,3740,0.14013219638578522,0.5629011327273974,0.24894637483950438,4,0.187,-0.589,0.7874,0.7822
f1:HIT:hit_data1_rec05:ch3:train:262500-287500,24220,0.07532204184658287,0.5629011327273974,0.13381042862979303,3,1.451,0.895,0.7863,0.7822
f1:HIT:hit_data1_rec07:ch3:train:200000-225000,4800,0.2372035219175117,0.558561062536467,0.42466891773645726,4,0.37,0.051,0.7728,0.7702
f1:HIT:hit_data1_rec09:ch3:train:125000-150000,18360,0.18955023956266226,0.6014636323634529,0.3151482971921494,4,1.224,0.595,0.7781,0.773
f1:HIT:hit_data1_rec10:ch3:train:75000-100000,6920,0.27107829150470586,0.5792942971407703,0.46794572783160865,4,1.598,0.718,0.7826,0.7809
f1:HIT:hit_data1_rec15:ch3:train:312500-337500,15180,0.1895030164929088,0.6203182527159824,0.30549321362524656,4,-0.272,-0.541,0.796,0.793
f1:HIT:hit_data1_rec17:ch3:train:25000-50000,15960,0.22944570707515277,0.5799292478476844,0.39564430993316607,4,1.529,0.674,0.7781,0.7759
f1:HIT:hit_data1_rec19:ch3:train:175000-200000,9320,0.08188243843021747,0.5825863257642948,0.1405498804364407,4,0.977,-0.23,0.8165,0.815
f1:HIT:hit_data1_rec21:ch3:train:112500-137500,10380,0.12240325245922656,0.5265440178022048,0.2324653748226129,4,0.639,-0.225,0.7648,0.7705
f1:HIT:hit_data1_rec22:ch3:train:50000-75000,11440,0.28225712231083133,0.4953011509165544,0.5698697081320019,4,0.304,-0.529,0.7877,0.7786
f1:HIT:hit_data1_rec26:ch3:train:287500-312500,19700,0.1581295241144075,0.5268100431332573,0.30016421701760965,4,0.295,-0.667,0.7912,0.7935
f1:HIT:hit_data2_rec03:ch3:train:225000-250000,280,0.025195717811584473,0.39206594228744507,0.06426397984104379,2,2.257,1.884,0.7725,0.7738
f1:HIT:hit_data2_rec03:ch3:train:225000-250000,20760,0.05157053470611572,0.39206594228744507,0.13153535960074542,4,0.83,0.316,0.7658,0.7738
f1:HIT:hit_data2_rec05:ch3:train:150000-175000,13840,0.06445664167404175,0.4697960913181305,0.13720131534737828,4,0.052,-0.753,0.83,0.8208
f1:HIT:hit_data2_rec08:ch3:train:0-25000,20480,0.20079195499420166,0.6870700716972351,0.29224378016917985,4,2.109,1.217,0.8777,0.8728
f1:HIT:hit_data2_rec10:ch3:train:337500-362500,10660,0.2807563543319702,0.6723728775978088,0.4175604990710107,4,1.13,0.573,0.8703,0.8769
f1:HIT:hit_data2_rec12:ch3:train:262500-287500,3740,0.17296284437179565,0.6710544228553772,0.2577478643767379,4,0.598,-0.228,0.8761,0.8726
f1:HIT:hit_data2_rec12:ch3:train:262500-287500,24220,0.061701178550720215,0.6710544228553772,0.09194660887277371,3,0.982,0.586,0.8773,0.8726
f1:HIT:hit_data2_rec16:ch3:train:200000-225000,4800,0.14884674549102783,0.7170366048812866,0.20758597884338623,4,1.225,-0.009,0.8671,0.8639
f1:HIT:hit_data2_rec20:ch3:train:125000-150000,18360,0.15317440032958984,0.5518755316734314,0.2775524398859419,4,1.392,0.192,0.8301,0.832
f1:HIT:hit_data2_rec21:ch3:train:75000-100000,6920,0.1994856595993042,0.5050711035728455,0.39496549730871267,4,0.255,-0.137,0.7895,0.7984
f1:HIT:hit_data2_rec23:ch3:train:312500-337500,15180,0.0700731873512268,0.6594290733337402,0.1062634181366404,4,0.866,-0.026,0.8618,0.8607
f1:HIT:hit_data3_rec00:ch3:train:25000-50000,15960,0.025350474036971438,0.3576881233445181,0.07087312209268826,4,-0.355,-0.911,0.6518,0.6616
f1:HIT:hit_data3_rec06:ch3:train:175000-200000,9320,0.22380086133006272,0.49662383897354667,0.45064462026667457,4,1.468,0.405,0.8287,0.8196
f1:HIT:hit_data3_rec09:ch3:train:112500-137500,10380,0.08211106505871435,0.742391640546699,0.11060343432495678,4,-0.003,-0.699,0.8676,0.8742
f1:HIT:hit_data3_rec10:ch3:train:50000-75000,11440,0.3009239909429813,0.7266723196452698,0.4141123623498764,4,-0.514,-0.798,0.8828,0.8804
f1:HIT:hit_data3_rec12:ch3:train:287500-312500,19700,0.09009538527159322,0.6689128988262792,0.13468926287644642,4,0.91,-0.303,0.8665,0.8687
f1:HIT:hit_data3_rec14:ch3:train:225000-250000,280,0.20854713159198246,0.5146004048010399,0.4052603333497335,2,-0.09,-0.138,0.8413,0.8465
f1:HIT:hit_data3_rec14:ch3:train:225000-250000,20760,0.14933947450834228,0.5146004048010399,0.290204735780943,4,0.917,-0.399,0.8465,0.8465
f1:HIT:hit_data3_rec16:ch3:train:150000-175000,13840,0.09034724619177159,0.6140248461367207,0.14713939795769673,4,0.614,0.056,0.8693,0.8669
f1:HIT:hit_data3_rec20:ch3:train:0-25000,20480,0.006090583283797968,0.5134408063809281,0.011862289105372403,4,0.179,-0.189,0.8261,0.8286
f1:HIT:hit_data3_rec21:ch3:train:337500-362500,10660,0.05681739698743882,0.36136960556527237,0.15722793536663104,4,0.692,-0.292,0.678,0.6743
