window_id,dataset,class,group_id,rpm,load,severity,recording_id,native_sampling_rate_hz,temporal_block_id,reason
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,cwru48k_IR007,1796.0,0hp,7 mil,cwru_X109,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,cwru48k_IR007,1748.0,2hp,7 mil,cwru_X111,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,cwru48k_IR007,1721.0,3hp,7 mil,cwru_X112,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,cwru48k_B014,1797.0,0hp,14 mil,cwru_X189,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,cwru48k_B014,1748.0,2hp,14 mil,cwru_X191,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,cwru48k_B014,1725.0,3hp,14 mil,cwru_X192,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,OR021@6,cwru48k_OR021,1796.0,0hp,21 mil,cwru_X238,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,OR021@6,cwru48k_OR021,1747.0,2hp,21 mil,cwru_X240,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,OR021@6,cwru48k_OR021,1719.0,3hp,21 mil,cwru_X241,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,OR021@3,cwru48k_OR021,1796.0,0hp,21 mil,cwru_X250,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,OR021@3,cwru48k_OR021,1746.0,2hp,21 mil,cwru_X252,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,OR021@3,cwru48k_OR021,1719.0,3hp,21 mil,cwru_X253,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,OR021@12,cwru48k_OR021,1796.0,0hp,21 mil,cwru_X262,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,OR021@12,cwru48k_OR021,1746.0,2hp,21 mil,cwru_X264,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,OR021@12,cwru48k_OR021,1718.0,3hp,21 mil,cwru_X265,48000,,"deterministic: recording at sorted position {first|middle|last} of its class, temporally middle train window"
