dataset,sampling_rate_hz,n_fft,window_samples,window_ms,hop_samples,hop_ms,overlap_pct,freq_bins,time_frames_1s,bin_spacing_hz,nyquist_hz,tf_shape_1s,convention
CWRU,48000,256,256,5.333,64,1.333,75,129,747,187.5,24000.0,"(129, 747)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,256,256,5.333,128,2.667,50,129,374,187.5,24000.0,"(129, 374)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,512,512,10.667,128,2.667,75,257,372,93.75,24000.0,"(257, 372)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,512,512,10.667,256,5.333,50,257,186,93.75,24000.0,"(257, 186)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,1024,1024,21.333,256,5.333,75,513,184,46.875,24000.0,"(513, 184)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,1024,1024,21.333,512,10.667,50,513,92,46.875,24000.0,"(513, 92)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,2048,2048,42.667,512,10.667,75,1025,90,23.438,24000.0,"(1025, 90)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,2048,2048,42.667,1024,21.333,50,1025,45,23.438,24000.0,"(1025, 45)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,4096,4096,85.333,1024,21.333,75,2049,43,11.719,24000.0,"(2049, 43)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
CWRU,48000,4096,4096,85.333,2048,42.667,50,2049,22,11.719,24000.0,"(2049, 22)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,256,256,5.12,64,1.28,75,129,778,195.312,25000.0,"(129, 778)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,256,256,5.12,128,2.56,50,129,389,195.312,25000.0,"(129, 389)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,512,512,10.24,128,2.56,75,257,387,97.656,25000.0,"(257, 387)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,512,512,10.24,256,5.12,50,257,194,97.656,25000.0,"(257, 194)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,1024,1024,20.48,256,5.12,75,513,192,48.828,25000.0,"(513, 192)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,1024,1024,20.48,512,10.24,50,513,96,48.828,25000.0,"(513, 96)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,2048,2048,40.96,512,10.24,75,1025,94,24.414,25000.0,"(1025, 94)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,2048,2048,40.96,1024,20.48,50,1025,47,24.414,25000.0,"(1025, 47)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,4096,4096,81.92,1024,20.48,75,2049,45,12.207,25000.0,"(2049, 45)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
JNU,50000,4096,4096,81.92,2048,40.96,50,2049,23,12.207,25000.0,"(2049, 23)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,256,256,10.24,64,2.56,75,129,387,97.656,12500.0,"(129, 387)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,256,256,10.24,128,5.12,50,129,194,97.656,12500.0,"(129, 194)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,512,512,20.48,128,5.12,75,257,192,48.828,12500.0,"(257, 192)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,512,512,20.48,256,10.24,50,257,96,48.828,12500.0,"(257, 96)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,1024,1024,40.96,256,10.24,75,513,94,24.414,12500.0,"(513, 94)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,1024,1024,40.96,512,20.48,50,513,47,24.414,12500.0,"(513, 47)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,2048,2048,81.92,512,20.48,75,1025,45,12.207,12500.0,"(1025, 45)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,2048,2048,81.92,1024,40.96,50,1025,23,12.207,12500.0,"(1025, 23)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,4096,4096,163.84,1024,40.96,75,2049,21,6.104,12500.0,"(2049, 21)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
HIT,25000,4096,4096,163.84,2048,81.92,50,2049,11,6.104,12500.0,"(2049, 11)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,256,256,5.12,64,1.28,75,129,778,195.312,25000.0,"(129, 778)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,256,256,5.12,128,2.56,50,129,389,195.312,25000.0,"(129, 389)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,512,512,10.24,128,2.56,75,257,387,97.656,25000.0,"(257, 387)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,512,512,10.24,256,5.12,50,257,194,97.656,25000.0,"(257, 194)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,1024,1024,20.48,256,5.12,75,513,192,48.828,25000.0,"(513, 192)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,1024,1024,20.48,512,10.24,50,513,96,48.828,25000.0,"(513, 96)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,2048,2048,40.96,512,10.24,75,1025,94,24.414,25000.0,"(1025, 94)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,2048,2048,40.96,1024,20.48,50,1025,47,24.414,25000.0,"(1025, 47)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,4096,4096,81.92,1024,20.48,75,2049,45,12.207,25000.0,"(2049, 45)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
MAFAULDA,50000,4096,4096,81.92,2048,40.96,50,2049,23,12.207,25000.0,"(2049, 23)","periodic-Hann, center=False, no padding, one-sided numpy.fft.rfft"
