dataset,n_fft,hop_ratio,freq_bins,time_frames,elements,float32_mb_per_window,batch16_mb,batch32_mb,batch64_mb
CWRU,256,0.25,129,747,96363,0.368,5.9,11.8,23.5
CWRU,256,0.5,129,374,48246,0.184,2.9,5.9,11.8
CWRU,512,0.25,257,372,95604,0.365,5.8,11.7,23.3
CWRU,512,0.5,257,186,47802,0.182,2.9,5.8,11.7
CWRU,1024,0.25,513,184,94392,0.36,5.8,11.5,23.0
CWRU,1024,0.5,513,92,47196,0.18,2.9,5.8,11.5
CWRU,2048,0.25,1025,90,92250,0.352,5.6,11.3,22.5
CWRU,2048,0.5,1025,45,46125,0.176,2.8,5.6,11.3
CWRU,4096,0.25,2049,43,88107,0.336,5.4,10.8,21.5
CWRU,4096,0.5,2049,22,45078,0.172,2.8,5.5,11.0
JNU,256,0.25,129,778,100362,0.383,6.1,12.3,24.5
JNU,256,0.5,129,389,50181,0.191,3.1,6.1,12.3
JNU,512,0.25,257,387,99459,0.379,6.1,12.1,24.3
JNU,512,0.5,257,194,49858,0.19,3.0,6.1,12.2
JNU,1024,0.25,513,192,98496,0.376,6.0,12.0,24.0
JNU,1024,0.5,513,96,49248,0.188,3.0,6.0,12.0
JNU,2048,0.25,1025,94,96350,0.368,5.9,11.8,23.5
JNU,2048,0.5,1025,47,48175,0.184,2.9,5.9,11.8
JNU,4096,0.25,2049,45,92205,0.352,5.6,11.3,22.5
JNU,4096,0.5,2049,23,47127,0.18,2.9,5.8,11.5
HIT,256,0.25,129,387,49923,0.19,3.0,6.1,12.2
HIT,256,0.5,129,194,25026,0.095,1.5,3.1,6.1
HIT,512,0.25,257,192,49344,0.188,3.0,6.0,12.0
HIT,512,0.5,257,96,24672,0.094,1.5,3.0,6.0
HIT,1024,0.25,513,94,48222,0.184,2.9,5.9,11.8
HIT,1024,0.5,513,47,24111,0.092,1.5,2.9,5.9
HIT,2048,0.25,1025,45,46125,0.176,2.8,5.6,11.3
HIT,2048,0.5,1025,23,23575,0.09,1.4,2.9,5.8
HIT,4096,0.25,2049,21,43029,0.164,2.6,5.3,10.5
HIT,4096,0.5,2049,11,22539,0.086,1.4,2.8,5.5
MAFAULDA,256,0.25,129,778,100362,0.383,6.1,12.3,24.5
MAFAULDA,256,0.5,129,389,50181,0.191,3.1,6.1,12.3
MAFAULDA,512,0.25,257,387,99459,0.379,6.1,12.1,24.3
MAFAULDA,512,0.5,257,194,49858,0.19,3.0,6.1,12.2
MAFAULDA,1024,0.25,513,192,98496,0.376,6.0,12.0,24.0
MAFAULDA,1024,0.5,513,96,49248,0.188,3.0,6.0,12.0
MAFAULDA,2048,0.25,1025,94,96350,0.368,5.9,11.8,23.5
MAFAULDA,2048,0.5,1025,47,48175,0.184,2.9,5.9,11.8
MAFAULDA,4096,0.25,2049,45,92205,0.352,5.6,11.3,22.5
MAFAULDA,4096,0.5,2049,23,47127,0.18,2.9,5.8,11.5
