dataset,n_fft,overlap_pct,window_ms,hop_ms,bin_spacing_hz,time_frames_1s,tf_shape_1s
CWRU,256,75,5.333,1.333,187.5,747,"(129, 747)"
CWRU,256,50,5.333,2.667,187.5,374,"(129, 374)"
CWRU,512,75,10.667,2.667,93.75,372,"(257, 372)"
CWRU,512,50,10.667,5.333,93.75,186,"(257, 186)"
CWRU,1024,75,21.333,5.333,46.875,184,"(513, 184)"
CWRU,1024,50,21.333,10.667,46.875,92,"(513, 92)"
CWRU,2048,75,42.667,10.667,23.438,90,"(1025, 90)"
CWRU,2048,50,42.667,21.333,23.438,45,"(1025, 45)"
CWRU,4096,75,85.333,21.333,11.719,43,"(2049, 43)"
CWRU,4096,50,85.333,42.667,11.719,22,"(2049, 22)"
JNU,256,75,5.12,1.28,195.312,778,"(129, 778)"
JNU,256,50,5.12,2.56,195.312,389,"(129, 389)"
JNU,512,75,10.24,2.56,97.656,387,"(257, 387)"
JNU,512,50,10.24,5.12,97.656,194,"(257, 194)"
JNU,1024,75,20.48,5.12,48.828,192,"(513, 192)"
JNU,1024,50,20.48,10.24,48.828,96,"(513, 96)"
JNU,2048,75,40.96,10.24,24.414,94,"(1025, 94)"
JNU,2048,50,40.96,20.48,24.414,47,"(1025, 47)"
JNU,4096,75,81.92,20.48,12.207,45,"(2049, 45)"
JNU,4096,50,81.92,40.96,12.207,23,"(2049, 23)"
HIT,256,75,10.24,2.56,97.656,387,"(129, 387)"
HIT,256,50,10.24,5.12,97.656,194,"(129, 194)"
HIT,512,75,20.48,5.12,48.828,192,"(257, 192)"
HIT,512,50,20.48,10.24,48.828,96,"(257, 96)"
HIT,1024,75,40.96,10.24,24.414,94,"(513, 94)"
HIT,1024,50,40.96,20.48,24.414,47,"(513, 47)"
HIT,2048,75,81.92,20.48,12.207,45,"(1025, 45)"
HIT,2048,50,81.92,40.96,12.207,23,"(1025, 23)"
HIT,4096,75,163.84,40.96,6.104,21,"(2049, 21)"
HIT,4096,50,163.84,81.92,6.104,11,"(2049, 11)"
MAFAULDA,256,75,5.12,1.28,195.312,778,"(129, 778)"
MAFAULDA,256,50,5.12,2.56,195.312,389,"(129, 389)"
MAFAULDA,512,75,10.24,2.56,97.656,387,"(257, 387)"
MAFAULDA,512,50,10.24,5.12,97.656,194,"(257, 194)"
MAFAULDA,1024,75,20.48,5.12,48.828,192,"(513, 192)"
MAFAULDA,1024,50,20.48,10.24,48.828,96,"(513, 96)"
MAFAULDA,2048,75,40.96,10.24,24.414,94,"(1025, 94)"
MAFAULDA,2048,50,40.96,20.48,24.414,47,"(1025, 47)"
MAFAULDA,4096,75,81.92,20.48,12.207,45,"(2049, 45)"
MAFAULDA,4096,50,81.92,40.96,12.207,23,"(2049, 23)"
