window_id,dataset,class,rpm,sampling_rate_hz,n_fft,hop_ratio,transform,spectral_entropy_norm,grad_energy_freq,grad_energy_time,mean_resolvable_peaks_per_frame,mean_peak_neighbour_contrast,l1_l2_concentration
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,256,0.25,log1p,0.8224,0.1844,0.1901,11.14,0.4662,0.5748
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,256,0.5,log1p,0.8224,0.1854,0.2618,11.16,0.4706,0.5747
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,512,0.25,log1p,0.8563,0.1745,0.1768,22.36,0.4502,0.5921
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,512,0.5,log1p,0.8563,0.1751,0.2206,22.33,0.4482,0.592
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,1024,0.25,log1p,0.8835,0.1846,0.1756,48.02,0.5326,0.6121
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,1024,0.5,log1p,0.8834,0.1845,0.2143,48.08,0.5316,0.6119
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,2048,0.25,log1p,0.9061,0.1996,0.1771,91.53,0.6115,0.6352
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,2048,0.5,log1p,0.906,0.2001,0.2109,91.49,0.6134,0.6352
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,4096,0.25,log1p,0.9236,0.2102,0.175,173.44,0.6065,0.6596
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,IR007,1796.0,48000,4096,0.5,log1p,0.9235,0.2105,0.2073,174.36,0.6024,0.6594
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,256,0.25,log1p,0.7999,0.196,0.1989,11.12,0.4151,0.5402
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,256,0.5,log1p,0.7997,0.1964,0.2787,11.16,0.4151,0.54
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,512,0.25,log1p,0.8339,0.1748,0.1807,22.82,0.3521,0.5523
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,512,0.5,log1p,0.8338,0.1753,0.2225,22.81,0.3524,0.5521
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,1024,0.25,log1p,0.8619,0.1854,0.1692,50.44,0.4482,0.5674
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,1024,0.5,log1p,0.862,0.1859,0.204,50.84,0.4459,0.5676
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,2048,0.25,log1p,0.8859,0.2008,0.1657,97.92,0.5308,0.5856
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,2048,0.5,log1p,0.8858,0.2015,0.1996,96.58,0.5435,0.5854
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,4096,0.25,log1p,0.9055,0.2076,0.1677,186.42,0.5507,0.6068
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,IR007,1748.0,48000,4096,0.5,log1p,0.9056,0.2086,0.1961,187.45,0.5523,0.607
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,256,0.25,log1p,0.7975,0.1973,0.1927,11.23,0.433,0.537
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,256,0.5,log1p,0.7973,0.1959,0.2685,11.18,0.4352,0.5369
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,512,0.25,log1p,0.8321,0.1782,0.1793,22.69,0.3838,0.5488
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,512,0.5,log1p,0.8322,0.1772,0.219,22.72,0.3817,0.5491
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,1024,0.25,log1p,0.8608,0.188,0.1704,50.65,0.4423,0.5647
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,1024,0.5,log1p,0.8608,0.1859,0.2036,50.42,0.4394,0.5647
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,2048,0.25,log1p,0.8848,0.1979,0.1654,97.26,0.5099,0.583
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,2048,0.5,log1p,0.8847,0.1991,0.1959,97.6,0.5084,0.5827
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,4096,0.25,log1p,0.9044,0.208,0.1587,192.26,0.5449,0.6037
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,IR007,1721.0,48000,4096,0.5,log1p,0.9043,0.2073,0.1857,193.09,0.5463,0.6034
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,256,0.25,log1p,0.7436,0.1879,0.1474,9.25,0.303,0.4496
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,256,0.5,log1p,0.7436,0.1871,0.1967,9.29,0.2999,0.4495
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,512,0.25,log1p,0.7816,0.1709,0.1489,18.54,0.2967,0.4511
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,512,0.5,log1p,0.7815,0.1709,0.1917,18.61,0.2963,0.4512
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,1024,0.25,log1p,0.816,0.1634,0.1525,40.15,0.2928,0.4625
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,1024,0.5,log1p,0.816,0.1617,0.2026,39.54,0.294,0.4626
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,2048,0.25,log1p,0.8453,0.1634,0.1599,79.71,0.35,0.4783
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,2048,0.5,log1p,0.8455,0.1626,0.1998,79.11,0.3513,0.4789
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,4096,0.25,log1p,0.8704,0.1631,0.1421,168.3,0.3242,0.4987
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,B014,1797.0,48000,4096,0.5,log1p,0.8702,0.1682,0.1798,171.09,0.3319,0.4982
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,256,0.25,log1p,0.7483,0.2015,0.153,9.93,0.3057,0.4485
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,256,0.5,log1p,0.7485,0.2017,0.2008,9.97,0.3034,0.4486
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,512,0.25,log1p,0.786,0.1811,0.1508,19.62,0.3035,0.4519
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,512,0.5,log1p,0.7859,0.1807,0.1884,19.75,0.3005,0.4519
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,1024,0.25,log1p,0.82,0.1747,0.1499,41.13,0.3049,0.4631
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,1024,0.5,log1p,0.8199,0.1712,0.1954,40.35,0.3064,0.4631
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,2048,0.25,log1p,0.8487,0.1733,0.1587,81.11,0.3468,0.4785
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,2048,0.5,log1p,0.8488,0.1718,0.1965,80.93,0.3468,0.4788
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,4096,0.25,log1p,0.8731,0.1714,0.1603,165.14,0.3489,0.4989
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,B014,1748.0,48000,4096,0.5,log1p,0.8735,0.1724,0.2021,165.55,0.3548,0.4998
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,256,0.25,log1p,0.7529,0.1997,0.1514,10.45,0.3269,0.4581
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,256,0.5,log1p,0.7527,0.1987,0.1947,10.41,0.3267,0.458
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,512,0.25,log1p,0.7913,0.1804,0.1514,21.07,0.3224,0.4634
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,512,0.5,log1p,0.7913,0.1811,0.1965,21.19,0.32,0.4635
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,1024,0.25,log1p,0.8253,0.1729,0.1564,42.66,0.3283,0.4764
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,1024,0.5,log1p,0.8255,0.1724,0.2078,42.85,0.3256,0.4768
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,2048,0.25,log1p,0.8536,0.1696,0.1622,85.66,0.3496,0.4931
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,2048,0.5,log1p,0.8537,0.1712,0.2092,85.36,0.3541,0.4931
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,B014,1725.0,48000,4096,0.25,log1p,0.8775,0.1678,0.163,171.79,0.3719,0.5145
