dataset,patch_freq_bins,patch_time_frames,patch_freq_width_hz,patch_time_width_ms,n_freq_patches,n_time_patches,tokens,pad_freq_bins,pad_time_frames,padded_value_pct
CWRU,8,8,375.0,42.67,65,23,1495,7,0,1.35
CWRU,16,8,750.0,42.67,33,23,759,15,0,2.84
CWRU,16,16,750.0,85.33,33,12,396,15,8,6.89
CWRU,32,8,1500.0,42.67,17,23,391,31,0,5.7
JNU,8,8,390.62,40.96,65,24,1560,7,0,1.35
JNU,16,8,781.25,40.96,33,24,792,15,0,2.84
JNU,16,16,781.25,81.92,33,12,396,15,0,2.84
JNU,32,8,1562.5,40.96,17,24,408,31,0,5.7
HIT,8,8,390.62,40.96,33,24,792,7,0,2.65
HIT,16,8,781.25,40.96,17,24,408,15,0,5.51
HIT,16,16,781.25,81.92,17,12,204,15,0,5.51
HIT,32,8,1562.5,40.96,9,24,216,31,0,10.76
MAFAULDA,8,8,390.62,40.96,65,24,1560,7,0,1.35
MAFAULDA,16,8,781.25,40.96,33,24,792,15,0,2.84
MAFAULDA,16,16,781.25,81.92,33,12,396,15,0,2.84
MAFAULDA,32,8,1562.5,40.96,17,24,408,31,0,5.7
