fold,seed,dataset,class,n_class,fraction,selected,realised_pct,requested_pct
1,42,CWRU,ball,66,0.05,4,6.06,5.0
1,42,CWRU,ball,66,0.1,7,10.61,10.0
1,42,CWRU,ball,66,0.25,17,25.76,25.0
1,42,CWRU,ball,66,0.5,33,50.0,50.0
1,42,CWRU,ball,66,1.0,66,100.0,100.0
1,42,CWRU,inner_race,66,0.05,4,6.06,5.0
1,42,CWRU,inner_race,66,0.1,7,10.61,10.0
1,42,CWRU,inner_race,66,0.25,17,25.76,25.0
1,42,CWRU,inner_race,66,0.5,33,50.0,50.0
1,42,CWRU,inner_race,66,1.0,66,100.0,100.0
1,42,CWRU,outer_race,188,0.05,10,5.32,5.0
1,42,CWRU,outer_race,188,0.1,19,10.11,10.0
1,42,CWRU,outer_race,188,0.25,47,25.0,25.0
1,42,CWRU,outer_race,188,0.5,94,50.0,50.0
1,42,CWRU,outer_race,188,1.0,188,100.0,100.0
1,42,HIT,0,1036,0.05,52,5.02,5.0
1,42,HIT,0,1036,0.1,104,10.04,10.0
1,42,HIT,0,1036,0.25,259,25.0,25.0
1,42,HIT,0,1036,0.5,518,50.0,50.0
1,42,HIT,0,1036,1.0,1036,100.0,100.0
1,42,HIT,1,1120,0.05,56,5.0,5.0
1,42,HIT,1,1120,0.1,112,10.0,10.0
1,42,HIT,1,1120,0.25,280,25.0,25.0
1,42,HIT,1,1120,0.5,560,50.0,50.0
1,42,HIT,1,1120,1.0,1120,100.0,100.0
1,42,HIT,2,476,0.05,24,5.04,5.0
1,42,HIT,2,476,0.1,48,10.08,10.0
1,42,HIT,2,476,0.25,119,25.0,25.0
1,42,HIT,2,476,0.5,238,50.0,50.0
1,42,HIT,2,476,1.0,476,100.0,100.0
1,42,JNU,ib,12,0.05,1,8.33,5.0
1,42,JNU,ib,12,0.1,2,16.67,10.0
1,42,JNU,ib,12,0.25,3,25.0,25.0
1,42,JNU,ib,12,0.5,6,50.0,50.0
1,42,JNU,ib,12,1.0,12,100.0,100.0
1,42,JNU,n,84,0.05,5,5.95,5.0
1,42,JNU,n,84,0.1,9,10.71,10.0
1,42,JNU,n,84,0.25,21,25.0,25.0
1,42,JNU,n,84,0.5,42,50.0,50.0
