fold,seed,dataset,window_id,class,group_id,class_rank,n_class,frac_5,frac_10,frac_25,frac_50,frac_100,parent_train_manifest_sha256
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:72000-120000,ball,cwru48k_B007,0,66,True,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:24000-72000,ball,cwru48k_B007,1,66,True,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:264000-312000,ball,cwru48k_B007,2,66,True,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:408000-456000,ball,cwru48k_B007,3,66,True,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:144000-192000,ball,cwru48k_B007,4,66,False,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:192000-240000,ball,cwru48k_B007,5,66,False,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:120000-168000,ball,cwru48k_B007,6,66,False,True,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:120000-168000,ball,cwru48k_B007,7,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:432000-480000,ball,cwru48k_B007,8,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:192000-240000,ball,cwru48k_B007,9,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:360000-408000,ball,cwru48k_B007,10,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:72000-120000,ball,cwru48k_B007,11,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:288000-336000,ball,cwru48k_B007,12,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:168000-216000,ball,cwru48k_B007,13,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:0-48000,ball,cwru48k_B007,14,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:240000-288000,ball,cwru48k_B007,15,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:48000-96000,ball,cwru48k_B007,16,66,False,False,True,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:288000-336000,ball,cwru48k_B007,17,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:264000-312000,ball,cwru48k_B007,18,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:96000-144000,ball,cwru48k_B007,19,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:168000-216000,ball,cwru48k_B007,20,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:264000-312000,ball,cwru48k_B007,21,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:216000-264000,ball,cwru48k_B007,22,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:24000-72000,ball,cwru48k_B007,23,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:0-48000,ball,cwru48k_B007,24,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:24000-72000,ball,cwru48k_B007,25,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:72000-120000,ball,cwru48k_B007,26,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:120000-168000,ball,cwru48k_B007,27,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:168000-216000,ball,cwru48k_B007,28,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:240000-288000,ball,cwru48k_B007,29,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:24000-72000,ball,cwru48k_B007,30,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:120000-168000,ball,cwru48k_B007,31,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:96000-144000,ball,cwru48k_B007,32,66,False,False,False,True,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:0-48000,ball,cwru48k_B007,33,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:408000-456000,ball,cwru48k_B007,34,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:432000-480000,ball,cwru48k_B007,35,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:288000-336000,ball,cwru48k_B007,36,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:384000-432000,ball,cwru48k_B007,37,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X122:DE:train:0-48000,ball,cwru48k_B007,38,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:336000-384000,ball,cwru48k_B007,39,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:384000-432000,ball,cwru48k_B007,40,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X125:DE:train:240000-288000,ball,cwru48k_B007,41,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X124:DE:train:144000-192000,ball,cwru48k_B007,42,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
3,2026,CWRU,f3:CWRU:cwru_X123:DE:train:192000-240000,ball,cwru48k_B007,43,66,False,False,False,False,True,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf
