ratio,dataset,valid_patches,masked_patches,visible_patches,masked_physical_area_pct,relative_compute_cost
0.4,CWRU,759,304,455,40.0,1.0
0.4,JNU,792,317,475,40.0,1.0
0.4,HIT,408,163,245,40.0,1.0
0.4,MAFAULDA,792,317,475,40.0,1.0
0.5,CWRU,759,380,379,50.0,1.0
0.5,JNU,792,396,396,50.0,1.0
0.5,HIT,408,204,204,50.0,1.0
0.5,MAFAULDA,792,396,396,50.0,1.0
0.6,CWRU,759,455,304,60.0,1.0
0.6,JNU,792,475,317,60.0,1.0
0.6,HIT,408,245,163,60.0,1.0
0.6,MAFAULDA,792,475,317,60.0,1.0
0.7,CWRU,759,531,228,70.0,1.0
0.7,JNU,792,554,238,70.0,1.0
0.7,HIT,408,286,122,70.0,1.0
0.7,MAFAULDA,792,554,238,70.0,1.0
0.75,CWRU,759,569,190,75.0,1.0
0.75,JNU,792,594,198,75.0,1.0
0.75,HIT,408,306,102,75.0,1.0
0.75,MAFAULDA,792,594,198,75.0,1.0
