window_id,dataset,temporal_corr_lag1,temporal_corr_lag2,temporal_corr_lag4,freq_corr_dist1,freq_corr_dist2,freq_corr_dist4,neighbour_interp_residual_ratio,patch_energy_p95_over_median
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,0.083,0.0301,0.3478,0.0773,0.0285,0.052,1.4664,4.21
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,0.1159,0.0461,0.4942,0.0549,0.0536,0.0926,1.3631,2.87
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,0.1332,0.0593,0.3179,0.0738,0.0309,0.0607,1.2983,2.66
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,0.1441,0.1155,0.2694,0.0632,0.0547,0.058,1.2182,2.32
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,0.1342,0.1089,0.2329,0.0427,0.054,0.0618,1.3284,2.59
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,0.1083,0.1509,0.209,0.0753,0.0516,0.0816,1.4868,2.21
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,0.0165,-0.2062,0.4259,0.3973,0.3725,0.3647,1.478,3.55
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,0.0673,-0.2081,0.5177,0.3989,0.3802,0.3731,1.4785,4.8
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,0.0744,-0.1424,0.3573,0.3722,0.3587,0.3508,1.3862,3.7
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,0.0708,-0.0287,0.3495,0.1916,0.3447,0.2285,1.3468,2.28
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,0.0658,-0.1143,0.5268,0.2677,0.4485,0.3717,1.3607,3.21
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,0.0682,-0.0257,0.2979,0.189,0.3611,0.2623,1.3942,3.29
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,0.0766,0.0274,0.3113,0.1891,0.1708,0.1468,1.2423,3.23
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,0.0585,-0.0123,0.38,0.1766,0.1549,0.1238,1.4851,2.18
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,0.0706,0.0242,0.2321,0.1435,0.128,0.0993,1.4922,2.11
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,0.219,0.2244,0.2209,0.0482,-0.0414,-0.0534,1.1646,1.57
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,0.1823,0.1844,0.1776,0.0135,-0.0446,-0.0118,1.2214,2.1
