run_id,arm,fold,seed,tier,enabled,architecture,architecture_config,architecture_hash,encoder_params,surgery_mapping,init_source,init_checkpoint,init_checkpoint_sha256,teacher_set,teacher_checkpoints,teacher_sha256,loss,loss_config,loss_hash,head_init_seed,sampler,max_epochs,steps_per_epoch,effective_batch,micro_batching,optimizer,optimizer_hash,checkpoint_metric,primary_test_metric,part2_hash,part3b_hash,part4c_hash,part5b_architecture_hash,window_manifest_sha256,output_location,part6_version,status
k1_f1_s42,k1,1,42,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f1_s42_l100/best.pt,477c79e0498e7a9b90ec897f68aa7bbf2d77997fac7b1d557a7d7362d86764b3,s1,s1_f1_s42_l100;s1_f1_s1337_l100;s1_f1_s2026_l100,477c79e0498e7a9b90ec897f68aa7bbf2d77997fac7b1d557a7d7362d86764b3;2bc947babbc5189e6e7f165f371fd79740c61ef800e473008c8ffd4e0fbd343e;9e62fbb69e4f1299ad5f99b6e2223b48e331b0b01c947ef6e120d3557047ee48,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,2679286798,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,202,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,results/methodology_v2/part6_compression/runs/k1_f1_s42/,part6.v1,REGISTERED
k1_f1_s1337,k1,1,1337,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f1_s1337_l100/best.pt,2bc947babbc5189e6e7f165f371fd79740c61ef800e473008c8ffd4e0fbd343e,s1,s1_f1_s42_l100;s1_f1_s1337_l100;s1_f1_s2026_l100,477c79e0498e7a9b90ec897f68aa7bbf2d77997fac7b1d557a7d7362d86764b3;2bc947babbc5189e6e7f165f371fd79740c61ef800e473008c8ffd4e0fbd343e;9e62fbb69e4f1299ad5f99b6e2223b48e331b0b01c947ef6e120d3557047ee48,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,3867094343,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,202,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,results/methodology_v2/part6_compression/runs/k1_f1_s1337/,part6.v1,REGISTERED
k1_f1_s2026,k1,1,2026,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f1_s2026_l100/best.pt,9e62fbb69e4f1299ad5f99b6e2223b48e331b0b01c947ef6e120d3557047ee48,s1,s1_f1_s42_l100;s1_f1_s1337_l100;s1_f1_s2026_l100,477c79e0498e7a9b90ec897f68aa7bbf2d77997fac7b1d557a7d7362d86764b3;2bc947babbc5189e6e7f165f371fd79740c61ef800e473008c8ffd4e0fbd343e;9e62fbb69e4f1299ad5f99b6e2223b48e331b0b01c947ef6e120d3557047ee48,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,1248498167,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,202,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,results/methodology_v2/part6_compression/runs/k1_f1_s2026/,part6.v1,REGISTERED
k1_f2_s42,k1,2,42,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f2_s42_l100/best.pt,46a830168b480e383d9983b2c42be26e129f59a5d1bfbffc933aac7e495929fb,s1,s1_f2_s42_l100;s1_f2_s1337_l100;s1_f2_s2026_l100,46a830168b480e383d9983b2c42be26e129f59a5d1bfbffc933aac7e495929fb;8747d2e35f6f745ca9f6eaf44b2813c57a1e39f1e3261d578509ba258e685080;604e6124d5bea27dda16d7efa20f200b2c764bc599db6dfefec74552666eb6bd,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,4076130478,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,205,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,results/methodology_v2/part6_compression/runs/k1_f2_s42/,part6.v1,REGISTERED
k1_f2_s1337,k1,2,1337,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f2_s1337_l100/best.pt,8747d2e35f6f745ca9f6eaf44b2813c57a1e39f1e3261d578509ba258e685080,s1,s1_f2_s42_l100;s1_f2_s1337_l100;s1_f2_s2026_l100,46a830168b480e383d9983b2c42be26e129f59a5d1bfbffc933aac7e495929fb;8747d2e35f6f745ca9f6eaf44b2813c57a1e39f1e3261d578509ba258e685080;604e6124d5bea27dda16d7efa20f200b2c764bc599db6dfefec74552666eb6bd,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,1014029204,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,205,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,results/methodology_v2/part6_compression/runs/k1_f2_s1337/,part6.v1,REGISTERED
k1_f2_s2026,k1,2,2026,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f2_s2026_l100/best.pt,604e6124d5bea27dda16d7efa20f200b2c764bc599db6dfefec74552666eb6bd,s1,s1_f2_s42_l100;s1_f2_s1337_l100;s1_f2_s2026_l100,46a830168b480e383d9983b2c42be26e129f59a5d1bfbffc933aac7e495929fb;8747d2e35f6f745ca9f6eaf44b2813c57a1e39f1e3261d578509ba258e685080;604e6124d5bea27dda16d7efa20f200b2c764bc599db6dfefec74552666eb6bd,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,3893540446,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,205,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,2be033786cbe88fb88df72ed66148caa113fac2e3d3edf5297b0c7412b3ffeb8,results/methodology_v2/part6_compression/runs/k1_f2_s2026/,part6.v1,REGISTERED
k1_f3_s42,k1,3,42,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f3_s42_l100/best.pt,91c337b199f13deeaaf4e256df8f2372d38cdbd104e154f5f1e38868b389ba04,s1,s1_f3_s42_l100;s1_f3_s1337_l100;s1_f3_s2026_l100,91c337b199f13deeaaf4e256df8f2372d38cdbd104e154f5f1e38868b389ba04;91254e13ef337e23d8607d844e97ab16a0963084def6a7c887abdb8744606f3c;4af71287cc920019aa8d30e472c60c427a069a3cd6dd998d1d8f0f53e8551a1c,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,457363979,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,201,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,results/methodology_v2/part6_compression/runs/k1_f3_s42/,part6.v1,REGISTERED
k1_f3_s1337,k1,3,1337,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f3_s1337_l100/best.pt,91254e13ef337e23d8607d844e97ab16a0963084def6a7c887abdb8744606f3c,s1,s1_f3_s42_l100;s1_f3_s1337_l100;s1_f3_s2026_l100,91c337b199f13deeaaf4e256df8f2372d38cdbd104e154f5f1e38868b389ba04;91254e13ef337e23d8607d844e97ab16a0963084def6a7c887abdb8744606f3c;4af71287cc920019aa8d30e472c60c427a069a3cd6dd998d1d8f0f53e8551a1c,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,1575989302,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,201,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,results/methodology_v2/part6_compression/runs/k1_f3_s1337/,part6.v1,REGISTERED
k1_f3_s2026,k1,3,2026,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,"{""kept_direction"": ""fwd""}",s1,results/methodology_v2/downstream/s1_f3_s2026_l100/best.pt,4af71287cc920019aa8d30e472c60c427a069a3cd6dd998d1d8f0f53e8551a1c,s1,s1_f3_s42_l100;s1_f3_s1337_l100;s1_f3_s2026_l100,91c337b199f13deeaaf4e256df8f2372d38cdbd104e154f5f1e38868b389ba04;91254e13ef337e23d8607d844e97ab16a0963084def6a7c887abdb8744606f3c;4af71287cc920019aa8d30e472c60c427a069a3cd6dd998d1d8f0f53e8551a1c,kd_ensemble+relational,"{""alpha"": 0.5, ""ensemble_rule"": ""mean_prob_at_T"", ""kind"": ""kd_ensemble+relational"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": 1.0, ""temperature"": 4.0}",6cfdbb630e2ae7309215f250bd7d4d4d43932ef4e24533ce2ffd73f94afe7bdd,3952061223,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,201,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,f776a61f65145884a6b2f3150074d2ce83c2eeade947aa74c31de15812330faf,results/methodology_v2/part6_compression/runs/k1_f3_s2026/,part6.v1,REGISTERED
c_small_f1_s42,c_small,1,42,core,True,half_4x1,"{""d_inner"": 384, ""d_model"": 192, ""d_state"": 16, ""directions"": 1, ""dt_rank"": 12, ""n_blocks"": 4, ""name"": ""half_4x1"", ""stem_rank"": null, ""uni_residual"": ""mean_of_remaining""}",745ff30dc98116f49e8827b7a81a309084c63ca9d49b4c66c04e93aea02cbcff,1375953,n/a,random,none,none,none,none,none,ce_hard,"{""alpha"": 0.5, ""ensemble_rule"": null, ""kind"": ""ce_hard"", ""kl_direction"": ""KL(teacher_T || student_T), sum over classes"", ""label_smoothing"": 0.0, ""reduction"": ""mean over datasets of per-dataset window means"", ""relational_weight"": null, ""temperature"": 4.0}",510828c11729aa40cae19794c08cbfdb5c3de64e099874612b25e55429aa6654,2679286798,sup_dataset_class_group_window_16x4 (frozen; same seed stream as the primary cell),50,202,64,dataset-bucketed 16x4 (exact mean of per-dataset means),"{""betas"": [0.9, 0.95], ""eps"": 1e-08, ""grad_clip_global_norm"": 1.0, ""lr"": 0.0003, ""min_lr"": 1e-06, ""optimizer"": ""AdamW"", ""warmup_epochs"": 5, ""weight_decay"": 0.05}",ffabe5367d57c68fbde9b6c33e3716d05267387af247ea7ac3d39cd72d957225,MacroDomainF1_val (maximize; exact tie -> earlier epoch),MacroDomainF1_test (Stage-5 sealed session only),527ccc1d449b223a37ecf109ed27be5279e17d85ba4e881abb9c68f4035e69c6,99ffde7e5c0e2cb9b05713801aedcb10b11ccc229d4c2d10a58a1506db10bb51,ee9414e8988c36b8a1ecad7d2622a54439a4bcc180a6a4e6a50b2f256160064f,962bb1de520a941a1c3a67c63c97d28983783327f7e263a73c9ec0bad0b6711f,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab,results/methodology_v2/part6_compression/runs/c_small_f1_s42/,part6.v1,REGISTERED
