model,fold,seed,dataset,device,mean_ms,sd_ms,median_ms,p95_ms,windows_per_second,peak_cuda_memory_mb
Full S1,1,42,CWRU,cpu,22.160816082,0.1467572643365581,22.143078,22.266007,45.12469199237859,
Full S1,1,42,JNU,cpu,22.82581468,0.3059558156188564,22.758831999999998,23.16285255,43.81004638910877,
Full S1,1,42,HIT,cpu,14.500704981999998,0.13779038228022863,14.485944,14.7053709,68.96216433899724,
Full S1,1,42,MAFAULDA,cpu,22.644149242,0.26974860184284877,22.612916,22.75742875,44.16151780810631,
K1,1,42,CWRU,cpu,11.631805728,0.13213364974488453,11.6130505,11.740276699999999,85.97117450068885,
K1,1,42,JNU,cpu,12.118623262,0.03954613460810349,12.111867,12.170705850000001,82.517624187202,
K1,1,42,HIT,cpu,7.7414606599999995,0.18212848923503008,7.7256944999999995,7.78198755,129.17458912721517,
K1,1,42,MAFAULDA,cpu,12.296337216,0.41931268523161763,12.089862,13.22600095,81.32503057079465,
Q8(K1),1,42,CWRU,cpu,12.15125914,0.16061625728909112,12.114752,12.374587349999999,82.29599817422707,
Q8(K1),1,42,JNU,cpu,12.606126717999999,0.14136789254206925,12.6116545,12.7432348,79.32650705248925,
Q8(K1),1,42,HIT,cpu,8.084961954,0.24431291405762107,8.0690205,8.20663155,123.68642000909531,
Q8(K1),1,42,MAFAULDA,cpu,12.564390600000001,0.12515106692206607,12.576775000000001,12.79800065,79.59001210930198,
Full S1,1,1337,CWRU,cpu,24.439157106,0.32972251935190944,24.360219,24.7363233,40.91794146838609,
Full S1,1,1337,JNU,cpu,25.575490192,0.2480253667611463,25.557329,25.910253949999998,39.09993483967707,
Full S1,1,1337,HIT,cpu,15.357330178,0.12906786199373405,15.416218,15.5227095,65.11548481470696,
Full S1,1,1337,MAFAULDA,cpu,25.553659614,0.1617937828123641,25.531777,25.82938025,39.13333804650561,
K1,1,1337,CWRU,cpu,12.767353736,0.14945424882521785,12.7598945,12.993436599999999,78.32476648471862,
K1,1,1337,JNU,cpu,13.26106022,0.1311888239534763,13.2298085,13.505258249999999,75.40875189540463,
K1,1,1337,HIT,cpu,8.186576517999999,0.07538458311684877,8.2075695,8.275201299999999,122.15118221899947,
K1,1,1337,MAFAULDA,cpu,13.22233645,0.08941792948189506,13.202818,13.38268765,75.62959873101701,
Q8(K1),1,1337,CWRU,cpu,12.175425945999999,0.09535834865856718,12.154210500000001,12.4119674,82.13265017874227,
Q8(K1),1,1337,JNU,cpu,12.822512912,0.11302268053655244,12.7836475,13.13019485,77.98783334147755,
Q8(K1),1,1337,HIT,cpu,8.210827818,0.08499299280611997,8.2242765,8.29424395,121.79039947808585,
Q8(K1),1,1337,MAFAULDA,cpu,12.809667096,0.09001747914280449,12.785225,12.9652203,78.06604125662751,
Full S1,1,2026,CWRU,cpu,23.982187618,0.19689925534016395,23.9216775,24.350732299999997,41.697613909476836,
Full S1,1,2026,JNU,cpu,24.9648378,0.2216918864139406,24.922992999999998,25.2726084,40.056338759789575,
Full S1,1,2026,HIT,cpu,15.511577108,0.12783072432806133,15.544170999999999,15.63714745,64.4679772428979,
Full S1,1,2026,MAFAULDA,cpu,24.751662162,0.16643311942589867,24.7256935,25.0142231,40.401327129264494,
K1,1,2026,CWRU,cpu,12.805720372,0.15987041672902416,12.76896,13.0902069,78.0901012165253,
K1,1,2026,JNU,cpu,13.321997324,0.09587514278480654,13.322873000000001,13.425631,75.0638193117235,
K1,1,2026,HIT,cpu,8.28019221,0.25433431812811513,8.2655165,8.441285950000001,120.7701433298008,
K1,1,2026,MAFAULDA,cpu,13.311964306,0.08424591199996459,13.3214915,13.4067389,75.12039373101967,
Q8(K1),1,2026,CWRU,cpu,12.185776938,0.17690796660377373,12.1462745,12.438062599999997,82.06288405637973,
Q8(K1),1,2026,JNU,cpu,12.716307006,0.18215871487881818,12.650626500000001,13.0506258,78.63918349314505,
Q8(K1),1,2026,HIT,cpu,8.237510052,0.25727966758849447,8.227294,8.28913895,121.39590649206046,
Q8(K1),1,2026,MAFAULDA,cpu,12.690518798,0.09230445192025027,12.675946,12.835594449999999,78.7989849680218,
Full S1,2,42,CWRU,cpu,24.395076314,0.31591682413334116,24.390469500000002,24.67562135,40.99187832530426,
Full S1,2,42,JNU,cpu,25.116390019999997,0.19432920784719063,25.1619035,25.3056749,39.81463893512194,
Full S1,2,42,HIT,cpu,15.443163634000001,0.29648909326529127,15.4274475,15.816495899999998,64.75357146371087,
Full S1,2,42,MAFAULDA,cpu,25.09003288,0.2524886360271672,25.088517,25.3985498,39.85646430926479,
K1,2,42,CWRU,cpu,12.674778614000001,0.26252312076214995,12.669688,12.816751799999999,78.89684155078213,
K1,2,42,JNU,cpu,13.115251304,0.07438643332458604,13.1294185,13.22474085,76.24710932492857,
K1,2,42,HIT,cpu,8.188827395999999,0.11781842158171701,8.2076425,8.26595405,122.117606299587,
K1,2,42,MAFAULDA,cpu,13.082853424000001,0.0715234338375056,13.1021725,13.1764834,76.43592476283023,
Q8(K1),2,42,CWRU,cpu,12.15862802,0.2767164012257282,12.086983499999999,12.38501235,82.24612171332798,
Q8(K1),2,42,JNU,cpu,12.583833872,0.14761004095654878,12.557695,12.7492637,79.46703764304114,
Q8(K1),2,42,HIT,cpu,8.165505172,0.07432379961134757,8.1520105,8.239753499999999,122.46639723272226,
Q8(K1),2,42,MAFAULDA,cpu,12.602472058,0.2783917376886844,12.583961,12.7616655,79.34951138139631,
Full S1,2,1337,CWRU,cpu,24.072146356,0.24847923556461382,24.101308500000002,24.319622250000002,41.54178797399798,
Full S1,2,1337,JNU,cpu,25.122917986,0.31673785284721867,25.169234,25.37151475,39.80429345656663,
Full S1,2,1337,HIT,cpu,15.434351448,0.174461225904266,15.469795000000001,15.56804155,64.79054227637023,
Full S1,2,1337,MAFAULDA,cpu,25.080390074,0.33428153832026686,25.0737035,25.3048643,39.8717881599723,
K1,2,1337,CWRU,cpu,12.662088018,0.13713304396880413,12.665915,12.76577065,78.97591602415285,
K1,2,1337,JNU,cpu,13.202452282,0.28208998701825344,13.210814,13.326363399999998,75.7435042096977,
K1,2,1337,HIT,cpu,8.229191574,0.07640451944648442,8.237334,8.3580164,121.51861953967436,
K1,2,1337,MAFAULDA,cpu,13.270250608,0.2581664619044908,13.2705795,13.40947545,75.35652713273913,
Q8(K1),2,1337,CWRU,cpu,12.298548199999999,0.187644886726949,12.294783500000001,12.59778545,81.31041028078421,
Q8(K1),2,1337,JNU,cpu,12.598380445999998,0.27091085501383616,12.5798625,12.7262094,79.3752819488398,
Q8(K1),2,1337,HIT,cpu,8.148451269999999,0.06217769660445111,8.141615999999999,8.2330297,122.72270728079106,
Q8(K1),2,1337,MAFAULDA,cpu,12.579840172,0.13438898161494275,12.576994500000001,12.6869068,79.49226590539547,
Full S1,2,2026,CWRU,cpu,24.470338288,0.34390664700999946,24.477439,24.76838595,40.865802026545325,
Full S1,2,2026,JNU,cpu,25.122913494,0.2683588056924224,25.046111500000002,25.46056345,39.80430057361085,
Full S1,2,2026,HIT,cpu,15.590367802000001,0.33911012711242233,15.4781145,16.2639677,64.14216859410563,
Full S1,2,2026,MAFAULDA,cpu,25.412430972,0.2585663524174562,25.435391,25.70320535,39.35082012035067,
K1,2,2026,CWRU,cpu,12.676428628,0.28116644510649075,12.65601,12.9105384,78.88657202638099,
K1,2,2026,JNU,cpu,13.023873556,0.13674443346959578,13.0274425,13.15462925,76.78207222299909,
K1,2,2026,HIT,cpu,8.180373864,0.06750560155073766,8.2012055,8.2690371,122.24380164344039,
K1,2,2026,MAFAULDA,cpu,13.059030294,0.253348773336944,13.044171500000001,13.1716375,76.57536413400099,
Q8(K1),2,2026,CWRU,cpu,12.227755818,0.1725463592207077,12.167531499999999,12.45570065,81.78115550262618,
Q8(K1),2,2026,JNU,cpu,12.708245827999999,0.10431760545732977,12.6680405,12.9127828,78.6890664167596,
Q8(K1),2,2026,HIT,cpu,8.184321566,0.2681103077524844,8.1838455,8.24504655,122.18483742797748,
Q8(K1),2,2026,MAFAULDA,cpu,12.732238374000001,0.1165264891584971,12.6810335,12.93511265,78.54078525909948,
Full S1,3,42,CWRU,cpu,24.45162947,0.25647025688718106,24.451583,24.752619000000003,40.8970699162161,
Full S1,3,42,JNU,cpu,25.299028392,0.19153426376526622,25.3139555,25.46948225,39.52720968194247,
Full S1,3,42,HIT,cpu,15.446355310000001,0.12914603001693922,15.4563875,15.600790550000001,64.7401914516752,
Full S1,3,42,MAFAULDA,cpu,25.355411344,0.24547854536043315,25.322799,25.7301185,39.43931283278651,
K1,3,42,CWRU,cpu,12.871400248,0.1394838083686869,12.839361,13.1597615,77.69162489958178,
K1,3,42,JNU,cpu,13.182844849999999,0.23122448762101014,13.1884795,13.2653178,75.85616089534727,
K1,3,42,HIT,cpu,8.093658744,0.05345690862211669,8.0968415,8.172258750000001,123.5535166022809,
K1,3,42,MAFAULDA,cpu,13.210415364000001,0.18982934165149282,13.188323,13.4928325,75.69784692199175,
Q8(K1),3,42,CWRU,cpu,12.224049306000001,0.27748508469206323,12.2701155,12.413750049999999,81.8059527548833,
Q8(K1),3,42,JNU,cpu,12.478716978,0.08705030628337602,12.445668000000001,12.662215199999999,80.13644365546568,
Q8(K1),3,42,HIT,cpu,8.189771906,0.10812658435282595,8.19444,8.2917479,122.103522720502,
Q8(K1),3,42,MAFAULDA,cpu,12.469718296,0.08477068420477374,12.452385,12.57502295,80.1942735403074,
Full S1,3,1337,CWRU,cpu,23.867943316,0.2625900625619651,23.8171805,24.255940550000002,41.89720022209223,
Full S1,3,1337,JNU,cpu,24.595126054,0.28528933522273625,24.639145499999998,24.7520414,40.65846207921208,
Full S1,3,1337,HIT,cpu,15.378224602,0.15843247524218737,15.4138755,15.515562,65.02701227747356,
Full S1,3,1337,MAFAULDA,cpu,25.287238625999997,0.32298634130422343,25.3140935,25.492822450000002,39.54563860412238,
K1,3,1337,CWRU,cpu,12.776420272,0.1552384310053668,12.784127999999999,12.9293954,78.26918485074707,
K1,3,1337,JNU,cpu,13.12250934,0.09529235555936533,13.153575,13.2355506,76.20493718772235,
K1,3,1337,HIT,cpu,8.198930614,0.27229602775101763,8.200718,8.267987549999999,121.96712560202184,
K1,3,1337,MAFAULDA,cpu,13.213929777999999,0.15159958040623792,13.210088500000001,13.376571949999999,75.67771410931135,
Q8(K1),3,1337,CWRU,cpu,12.071686836000001,0.22306496137231677,12.016656999999999,12.38777235,82.83846438244365,
Q8(K1),3,1337,JNU,cpu,12.443490682,0.2203512371204343,12.435876,12.52089135,80.36330203120089,
Q8(K1),3,1337,HIT,cpu,8.151049777999999,0.05344307481183507,8.135626,8.224860999999999,122.68358398436469,
Q8(K1),3,1337,MAFAULDA,cpu,12.44285206,0.14489540189509495,12.438636500000001,12.542347399999999,80.36742663000045,
Full S1,3,2026,CWRU,cpu,23.873092382,0.31096109851199016,23.8736265,24.313853,41.8881636278502,
Full S1,3,2026,JNU,cpu,24.555895754,0.20186301143280044,24.590591,24.756497500000002,40.72341770864157,
Full S1,3,2026,HIT,cpu,15.346594977999999,0.28304224906097053,15.356835499999999,15.5111808,65.16103418598998,
Full S1,3,2026,MAFAULDA,cpu,24.542857924,0.2818440911356603,24.565296500000002,24.8143644,40.74505108967439,
K1,3,2026,CWRU,cpu,12.709355346,0.17841204149832907,12.713876500000001,12.811072300000001,78.68219691526123,
K1,3,2026,JNU,cpu,13.171934884,0.09775600972604019,13.170819,13.2935632,75.9189905512442,
K1,3,2026,HIT,cpu,8.189977764,0.12207148722585208,8.208983,8.2952223,122.10045360508991,
K1,3,2026,MAFAULDA,cpu,13.207256008,0.224587889291129,13.1886095,13.3357175,75.71595488073164,
Q8(K1),3,2026,CWRU,cpu,12.04016868,0.1238660263507207,12.004529000000002,12.24329545,83.05531480311453,
Q8(K1),3,2026,JNU,cpu,12.580041448,0.15365936570859332,12.544642,12.792743100000001,79.49099405860719,
Q8(K1),3,2026,HIT,cpu,8.184347114,0.0572958437250848,8.199123499999999,8.24400915,122.18445601963994,
Q8(K1),3,2026,MAFAULDA,cpu,12.5630292,0.26528385720135184,12.51443,12.74785375,79.59863692746968,
Full S1,1,42,CWRU,cuda,7.4062651386260985,0.044425292997714576,7.395711898803711,7.492689609527588,135.02082105927758,33.228515625
Full S1,1,42,JNU,cuda,7.685530241012573,0.10263626632140105,7.660975933074951,7.825673794746399,130.1146399325402,33.5625
Full S1,1,42,HIT,cuda,7.6521866331100465,0.09913081133885111,7.623824119567871,7.822424197196961,130.68160095222012,25.58642578125
