arm,fold,seed,dataset,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,n,macro_auc_ovr,weighted_auc_ovr,micro_auc_ovr,macro_auc_ovo
S0,1,42,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,1,42,HIT,0.8857142857142857,0.8214285714285715,0.9155947877259352,0.8214285714285715,0.8384544748181111,0.8987137452711225,0.8857142857142858,0.8728120364484001,280,0.9925683815192743,0.9934576955782313,0.9850956632653061,0.9908322704081632
S0,1,42,MaFaulDa,0.9413870246085012,0.9460514112027788,0.9323645407273636,0.9460514112027788,0.936641317958115,0.945506600297242,0.9413870246085012,0.9417241869814026,2235,0.9975635988234555,0.9973865763692792,0.9969253414788901,0.997732776433775
S0,1,1337,JNU,0.9583333333333334,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.96875,0.9583333333333334,0.9571428571428572,24,1.0,1.0,0.998263888888889,1.0
S0,1,1337,HIT,0.9892857142857144,0.9910714285714284,0.9910972919822476,0.9910714285714284,0.99107125062282,0.9893167503786972,0.9892857142857144,0.9892855007473842,280,0.9994331065759637,0.9993197278911564,0.9996492346938776,0.999468537414966
S0,1,1337,MaFaulDa,0.9046979865771811,0.9128528006947458,0.8752664655070758,0.9128528006947458,0.8776733549938566,0.9159200002257992,0.9046979865771811,0.9022302802718908,2235,0.995329782355331,0.9949602061473605,0.9930397640858131,0.9957655933353223
S0,1,2026,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,1,2026,HIT,0.9928571428571428,0.988095238095238,0.9941520467836256,0.988095238095238,0.9909895414320192,0.9929824561403509,0.9928571428571428,0.9928238133547868,280,1.0,1.0,0.9998979591836735,1.0
S0,1,2026,MaFaulDa,0.7597315436241611,0.7802952670429875,0.7241742208492106,0.7802952670429875,0.7120189653055772,0.7634056804581524,0.759731543624161,0.735367315807814,2235,0.9696895906342613,0.9668049944787948,0.9725065548710129,0.9725758621850826
S0,2,42,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,2,42,HIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,1.0,1.0,1.0,1.0
S0,2,42,MaFaulDa,0.7378787878787879,0.7520939689958487,0.765094854183329,0.7520939689958487,0.701894145599326,0.7818226602013851,0.7378787878787879,0.6915247162421291,1980,0.9582307903763851,0.9507735862293477,0.9561750218231699,0.9608114507572963
S0,2,1337,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,2,1337,HIT,0.9964285714285714,0.9970238095238096,0.9970501474926252,0.9970238095238096,0.9970237502076068,0.9964601769911504,0.9964285714285714,0.996428500249128,280,1.0,1.0,0.9999808673469388,1.0
S0,2,1337,MaFaulDa,0.7595959595959596,0.743969359692668,0.7573479933785424,0.743969359692668,0.7181755516161694,0.8133546195633627,0.7595959595959596,0.7607009062870742,1980,0.9715934733161238,0.97882818637424,0.9749453570497342,0.9714556807301614
S0,2,2026,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,2,2026,HIT,0.9714285714285714,0.9761904761904764,0.977777777777778,0.9761904761904764,0.9761600681140912,0.9733333333333334,0.9714285714285716,0.9713920817369096,280,1.0,1.0,0.9992665816326531,1.0
S0,2,2026,MaFaulDa,0.694949494949495,0.7247837136276986,0.6380142222689884,0.7247837136276986,0.6590193230716184,0.6531172504425806,0.694949494949495,0.6619559728410604,1980,0.9668782879748195,0.9671141711997867,0.9652676172499405,0.9676000679126703
S0,3,42,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,3,42,HIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,1.0,1.0,1.0,1.0
S0,3,42,MaFaulDa,0.8837438423645321,0.892210921125207,0.9347465037924212,0.892210921125207,0.8859790489175776,0.92157975388824,0.8837438423645321,0.8729067801752438,2030,0.9959191221809229,0.9955814159643783,0.9900879257767317,0.9962841785225458
S0,3,1337,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,3,1337,HIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,1.0,1.0,1.0,1.0
S0,3,1337,MaFaulDa,0.8443349753694581,0.8576835447692591,0.8609110216076354,0.8576835447692591,0.8286162146928164,0.8531628003285481,0.8443349753694582,0.8169819551184508,2030,0.9768682709753053,0.9757363640306327,0.9706886171035993,0.9801397947238366
S0,3,2026,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S0,3,2026,HIT,0.9714285714285714,0.9761904761904764,0.977777777777778,0.9761904761904764,0.9761600681140912,0.9733333333333334,0.9714285714285716,0.9713920817369096,280,0.9999468537414966,0.999936224489796,0.9990178571428572,0.9999202806122449
S0,3,2026,MaFaulDa,0.8729064039408867,0.88703592572164,0.8999170613496064,0.88703592572164,0.8742898677556067,0.903460559672252,0.8729064039408868,0.8681743812839088,2030,0.9916513924843715,0.991320899466874,0.98786337127003,0.992153842605621
S1,1,42,JNU,0.9583333333333334,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.96875,0.9583333333333334,0.9571428571428572,24,1.0,1.0,0.9994212962962964,1.0
S1,1,42,HIT,0.9928571428571428,0.988095238095238,0.9941520467836256,0.988095238095238,0.9909895414320192,0.9929824561403509,0.9928571428571428,0.9928238133547868,280,1.0,1.0,0.9999489795918368,1.0
S1,1,42,MaFaulDa,0.8313199105145413,0.8459834997828919,0.8318728493551097,0.8459834997828919,0.7664115308339687,0.8838862842077194,0.8313199105145415,0.7966672773160771,2235,0.9847641432425872,0.9834093464685429,0.9809497959440154,0.9857061983432829
S1,1,1337,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
