model,metric,mean,sample_sd,median,minimum,maximum
Full S1 FP32,JNU,0.980952380952381,0.037796447300922686,1.0,0.9142857142857144,1.0
Full S1 FP32,HIT,0.9755005263976547,0.022741172349011896,0.9788815322982855,0.9407407407407408,1.0
Full S1 FP32,MAFAULDA,0.8033104128068107,0.06262399187878731,0.7921483080005203,0.720580675877142,0.9014280554690851
Full S1 FP32,macro3,0.9199211067189488,0.017896229106757755,0.918456967420466,0.8905622621839008,0.9537576736820261
K1 FP32,JNU,1.0,0.0,1.0,1.0,1.0
K1 FP32,HIT,0.9825088469373207,0.023264550746292915,0.9970237502076067,0.9433609475330206,1.0
K1 FP32,MAFAULDA,0.8282287685255804,0.05910797132711021,0.8310686466634236,0.7385804374342965,0.8986860312909724
K1 FP32,macro3,0.9369125384876337,0.019552979947254225,0.9436895488878079,0.911868062547301,0.9652365938328596
Q8(K1),JNU,1.0,0.0,1.0,1.0,1.0
Q8(K1),HIT,0.9828378073426967,0.022654745883188786,0.9970237502076067,0.9463215911814041,1.0
Q8(K1),MAFAULDA,0.8281953475539802,0.05902273616520959,0.8302928133498462,0.7388763654078823,0.8986860312909724
Q8(K1),macro3,0.9370110516322256,0.019571281889818444,0.943430937783282,0.911966705205163,0.9652365938328596
