Fold,Seed,S0 JNU,S0 HIT,S0 MaFaulDa,S0 Macro-3,S1 JNU,S1 HIT,S1 MaFaulDa,S1 Macro-3,Delta S1-S0
1,42,1.0,0.9168377374972702,0.8442545083201927,0.9203640819391543,0.9142857142857144,0.9909895414320192,0.7887533178933599,0.8980095245370312,-0.02235455740212311
1,1337,0.8035714285714286,0.933863797338638,0.8236844714718776,0.8537065657939814,0.9142857142857144,0.9479698739104679,0.9268627120177971,0.9297061000713264,0.07599953427734496
1,2026,0.9142857142857144,0.9955155155155154,0.7950372160813532,0.9016128152941943,0.9142857142857144,0.9641829229293252,0.7875729175289381,0.8886805182479925,-0.012932297046201802
2,42,0.6927083333333333,1.0,0.7939519305343032,0.8288867546225456,0.675,0.9492824559651051,0.7928742662674527,0.8057189074108525,-0.02316784721169307
2,1337,0.5872549019607843,0.9731709751472203,0.6355723845285131,0.7319994205455059,0.8125,1.0,0.7870125648638246,0.8665041882879416,0.1345047677424357
2,2026,0.577232142857143,1.0,0.7643791657087564,0.7805371028552998,0.6030465949820789,1.0,0.6778463086788942,0.7602976345536577,-0.020239468301642027
3,42,0.9142857142857144,0.977145655634004,0.786607135585575,0.8926795018350978,0.9142857142857143,0.9611787683057705,0.8522090754034961,0.9092245193316604,0.016545017496562564
3,1337,0.9142857142857144,0.8977895856098385,0.7739404858491138,0.8620052619148888,0.8374999999999999,0.9910698267785597,0.7553541340355245,0.8613079869380281,-0.0006972749768606734
3,2026,0.9142857142857144,1.0,0.8593209144100952,0.9245355428986032,0.8309523809523809,0.9791463017269469,0.76201812299593,0.8573722685584193,-0.06716327434018388
Mean,,0.8131010737628385,0.9660359185269429,0.7863053569433089,0.8551474497443634,0.824015759230813,0.9759799656720216,0.792278157742802,0.8640912942152122,0.008943844470848838
