labels,dataset,s0_f1_mean,s0_f1_sd,s1_f1_mean,s1_f1_sd,delta_f1,s0_auc_mean,s0_auc_sd,s1_auc_mean,s1_auc_sd,delta_auc
1%,CWRU,0.2775,0.2074,0.2902,0.1641,0.0127,0.5278,0.2052,0.5793,0.2016,0.0515
1%,JNU,0.5407,0.1094,0.6102,0.1259,0.0695,0.7902,0.0910,0.9065,0.0272,0.1162
1%,HIT,0.6148,0.1113,0.6193,0.0896,0.0045,0.7606,0.0570,0.8117,0.0921,0.0511
1%,MaFaulDa,0.4880,0.0641,0.5008,0.0750,0.0128,0.8343,0.0395,0.8430,0.0598,0.0087
1%,Macro-4,0.4803,0.0655,0.5051,0.0547,0.0249,0.7282,0.0677,0.7851,0.0589,0.0569
5%,CWRU,0.2991,0.0898,0.2658,0.0931,-0.0332,0.5108,0.1531,0.5635,0.1352,0.0527
5%,JNU,0.6297,0.0724,0.6191,0.0947,-0.0105,0.9088,0.0306,0.9397,0.0165,0.0308
5%,HIT,0.9233,0.0858,0.9487,0.0936,0.0254,0.9895,0.0160,0.9973,0.0064,0.0078
5%,MaFaulDa,0.7557,0.0738,0.7371,0.0537,-0.0186,0.9624,0.0299,0.9507,0.0147,-0.0117
5%,Macro-4,0.6519,0.0248,0.6427,0.0243,-0.0092,0.8429,0.0383,0.8628,0.0330,0.0199
10%,CWRU,0.2885,0.0951,0.2826,0.1124,-0.0059,0.5849,0.1312,0.4922,0.1281,-0.0927
10%,JNU,0.8131,0.1570,0.8240,0.1140,0.0109,0.9479,0.0822,0.9643,0.0461,0.0164
10%,HIT,0.9660,0.0397,0.9760,0.0208,0.0099,0.9981,0.0055,0.9978,0.0052,-0.0004
10%,MaFaulDa,0.7863,0.0648,0.7923,0.0681,0.0060,0.9773,0.0155,0.9770,0.0119,-0.0003
10%,Macro-4,0.7135,0.0425,0.7187,0.0388,0.0052,0.8771,0.0366,0.8578,0.0246,-0.0193
