arm,fold,seed,dataset,numeric_or_original_label,class,precision,recall,f1,support,roc_auc,positive_n,negative_n
S0,1,42,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,1,42,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,42,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,42,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,42,HIT,0,healthy,0.8615384615384616,1.0,0.9256198347107438,112,1.0,112,168
S0,1,42,HIT,1,inner race fault,0.8852459016393442,0.9642857142857144,0.923076923076923,112,0.9895833333333333,112,168
S0,1,42,HIT,2,outer race fault,1.0,0.5,0.6666666666666666,56,0.9881218112244898,56,224
S0,1,42,MaFaulDa,normal,normal,0.7954545454545454,1.0,0.8860759493670886,35,0.9998181818181818,35,2200
S0,1,42,MaFaulDa,imbalance,imbalance,0.8547717842323651,0.8765957446808511,0.865546218487395,235,0.990468085106383,235,2000
S0,1,42,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.9959183673469388,0.9979550102249488,245,0.9999774382114655,245,1990
S0,1,42,MaFaulDa,vertical-misalignment,vertical-misalignment,0.9014598540145984,0.988,0.9427480916030532,250,0.9989360201511335,250,1985
S0,1,42,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9516129032258064,0.963265306122449,0.9574036511156186,245,0.999495436365501,245,1990
S0,1,42,MaFaulDa,underhang/cage_fault,underhang/cage fault,1.0,0.9387755102040816,0.968421052631579,245,0.9999774382114655,245,1990
S0,1,42,MaFaulDa,underhang/outer_race,underhang/outer race,0.987012987012987,0.9306122448979592,0.9579831932773109,245,0.9992390524048816,245,1990
S0,1,42,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,0.9510204081632652,0.9748953974895398,245,1.0,245,1990
S0,1,42,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.9761904761904762,0.8367346938775511,0.9010989010989012,245,0.9937996102963799,245,1990
S0,1,42,MaFaulDa,overhang/outer_race,overhang/outer race,0.8571428571428571,0.979591836734694,0.9142857142857144,245,0.9939247256691622,245,1990
S0,1,1337,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,1,1337,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,1337,JNU,ob,outer race fault,0.75,1.0,0.8571428571428571,3,1.0,3,21
S0,1,1337,JNU,tb,rolling element fault,1.0,0.6666666666666666,0.8,3,1.0,3,21
S0,1,1337,HIT,0,healthy,0.9823008849557522,0.9910714285714286,0.9866666666666668,112,0.998937074829932,112,168
S0,1,1337,HIT,1,inner race fault,0.990990990990991,0.9821428571428572,0.9865470852017936,112,0.9993622448979592,112,168
S0,1,1337,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,1,1337,MaFaulDa,normal,normal,0.4487179487179487,1.0,0.6194690265486726,35,0.9994025974025974,35,2200
S0,1,1337,MaFaulDa,imbalance,imbalance,0.7992831541218638,0.948936170212766,0.867704280155642,235,0.9947340425531915,235,2000
S0,1,1337,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.8152866242038217,0.5224489795918368,0.63681592039801,245,0.9644508255563531,245,1990
S0,1,1337,MaFaulDa,vertical-misalignment,vertical-misalignment,0.9803921568627452,1.0,0.99009900990099,250,0.9999959697732997,250,1985
S0,1,1337,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9107806691449816,1.0,0.9533073929961088,245,1.0,245,1990
S0,1,1337,MaFaulDa,underhang/cage_fault,underhang/cage fault,1.0,1.0,1.0,245,1.0,245,1990
S0,1,1337,MaFaulDa,underhang/outer_race,underhang/outer race,0.9953703703703703,0.8775510204081632,0.9327548806941433,245,0.9992411034765665,245,1990
S0,1,1337,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,0.9959183673469388,0.9979550102249488,245,1.0,245,1990
S0,1,1337,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.9752475247524752,0.8040816326530612,0.8814317673378077,245,0.9974648753973951,245,1990
S0,1,1337,MaFaulDa,overhang/outer_race,overhang/outer race,0.8275862068965517,0.979591836734694,0.897196261682243,245,0.9980084093939083,245,1990
S0,1,2026,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,1,2026,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,2026,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,2026,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,1,2026,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S0,1,2026,HIT,1,inner race fault,0.9824561403508772,1.0,0.991150442477876,112,1.0,112,168
S0,1,2026,HIT,2,outer race fault,1.0,0.9642857142857144,0.9818181818181818,56,1.0,56,224
S0,1,2026,MaFaulDa,normal,normal,0.2966101694915254,1.0,0.457516339869281,35,0.9999610389610389,35,2200
S0,1,2026,MaFaulDa,imbalance,imbalance,0.9360730593607306,0.8723404255319149,0.9030837004405288,235,0.9938425531914894,235,2000
S0,1,2026,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.7981651376146789,0.3551020408163265,0.4915254237288136,245,0.9791385498923187,245,1990
S0,1,2026,MaFaulDa,vertical-misalignment,vertical-misalignment,0.7267441860465116,1.0,0.8417508417508417,250,0.9999818639798489,250,1985
S0,1,2026,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.8621908127208481,0.9959183673469388,0.9242424242424244,245,0.9991939288278125,245,1990
S0,1,2026,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.995850622406639,0.979591836734694,0.9876543209876544,245,0.999911803917547,245,1990
