class,s0_precision_mean,s0_precision_sd,s0_recall_mean,s0_recall_sd,s0_f1_mean,s0_f1_sd,s0_roc_auc_mean,s0_roc_auc_sd,s0_support_mean,s0_support_sd,s1_precision_mean,s1_precision_sd,s1_recall_mean,s1_recall_sd,s1_f1_mean,s1_f1_sd,s1_roc_auc_mean,s1_roc_auc_sd,s1_support_mean,s1_support_sd
normal,0.6186846979740933,0.33248998980187805,0.9079365079365078,0.16021527467867355,0.7018993242889366,0.2790794541715678,0.9814637487619492,0.039318952236084,35.0,0.0,0.5511991615587544,0.2645000600567958,0.980952380952381,0.047380354147934296,0.6748476129485699,0.19514013250426668,0.9973943740998558,0.004048133935071749,35.0,0.0
imbalance,0.7693351478972976,0.10641603074298887,0.8947749312490954,0.11420639940580032,0.8194467553535447,0.07508515541543853,0.9844632500992402,0.0175217749378219,241.66666666666666,5.0,0.7466280552177424,0.15417821824491637,0.923973561055628,0.08437128936857738,0.8117061853217953,0.0765615154839988,0.9909717938887385,0.007645754634508037,241.66666666666666,5.0
horizontal-misalignment,0.8423514020508898,0.3262908445998236,0.5709750566893423,0.38900681128635,0.6318310280696872,0.39211906824755627,0.9588335664929857,0.07495036771033844,245.0,0.0,0.7171470466526331,0.3771047322444683,0.39501133786848075,0.4189531875224062,0.43497552848938525,0.4125186880143998,0.9705271076711087,0.037614709711549295,245.0,0.0
vertical-misalignment,0.878180048719129,0.1492911797100557,0.9662222222222222,0.04167066647468509,0.9119099146556953,0.08013090528614765,0.9961800712156355,0.005639163020697851,250.0,0.0,0.8397294064235926,0.17897844707456706,0.9666666666666666,0.05646237685397242,0.8855844956551449,0.10079662200830093,0.9970778234774854,0.00494015541864464,250.0,0.0
underhang/ball fault,0.9187895338763864,0.08478476290752883,0.8716911325933884,0.2415689471661637,0.8781541753493786,0.18930149958938666,0.9963764919028679,0.006430336456286558,226.66666666666666,27.5,0.9434061764354627,0.05619811126882912,0.9446115288220551,0.12772157741506673,0.9395005816733651,0.08508447959703234,0.9978896713011464,0.004452285550090836,226.66666666666666,27.5
underhang/cage fault,0.7975632004398443,0.23089213415692347,0.6292894935752078,0.3301145156068284,0.6552607092131248,0.29195493982606024,0.946466130484493,0.0635043498164396,231.66666666666666,16.393596310755,0.8203664148098133,0.16246978026756168,0.6791005291005292,0.38442214540945,0.6757062938607064,0.3102711130382062,0.9444392040635883,0.08077097155470231,231.66666666666666,16.393596310755
underhang/outer race,0.7524025430701384,0.2586523172304186,0.8283140283140283,0.18545740675282615,0.7749795326912744,0.20574687844707426,0.9767545159173731,0.03393802130008677,205.0,30.0,0.8451241383647794,0.1687959374341182,0.8178341606913037,0.228542417291827,0.8066938756036177,0.1655044715580129,0.9828097296454408,0.023406539531957624,205.0,30.0
overhang/ball fault,0.9350129228524222,0.07623994377248998,0.9764172335600906,0.05332656489051977,0.9523822175082276,0.04010216997683891,0.9998704706409455,0.0002308830025591611,156.66666666666666,67.12860791048776,0.9898213507625273,0.024072867012986953,0.9580045351473923,0.06318724758006851,0.9726049645282843,0.03762391789241086,0.999920100248297,0.00019119772118388433,156.66666666666666,67.12860791048776
overhang/cage fault,0.8793975697391341,0.17741271269383777,0.8789115646258503,0.0856413684014583,0.8674719228704542,0.11035888713772544,0.9910171377001935,0.0197785621873055,245.0,0.0,0.9215796588560552,0.09349181028692358,0.9215419501133787,0.10773457167162519,0.915613105388892,0.07457542911094042,0.9966504870276166,0.005320464237846355,245.0,0.0
overhang/outer race,0.8169905818964126,0.24892358407715462,0.8054421768707483,0.30544141932848506,0.8003397421226359,0.2777309308404139,0.9727127380298454,0.06972174798031992,245.0,0.0,0.9263703381090228,0.08426981981212614,0.9156462585034014,0.1195925332570091,0.9158714845983457,0.08088840827544382,0.9965156244518106,0.00649777819831637,245.0,0.0
