fold,seed,dataset,n_windows,n_masked_valid_cells,mse,nmse,mae,r2,pearson_r,spearman_rho,zero_energy_windows,constant_target_windows,undefined_pearson_windows,undefined_spearman_windows,domain
1,42,HIT,280,8300080,0.5767332464290055,0.5781398499852295,0.5946667208335836,0.3635800124336272,0.5966405248257106,0.5445400290568565,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,42,JNU,24,1420080,0.6326136417650418,0.6610720508517723,0.5958223281903434,0.11373774701257426,0.3393792245755811,0.2926176425589439,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,42,MaFaulDa,2060,121695040,0.4238807144988969,0.5749985240341136,0.5059365347765459,0.24643128558103866,0.4879421963653711,0.430501030490187,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,1337,HIT,280,8297680,0.5947182360292008,0.5958247185963331,0.6051231154178391,0.34401339237938966,0.5801739488563395,0.5275687930159204,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,1337,JNU,24,1419240,0.6654544182325345,0.6861167688788163,0.61317659498713,0.0793998836291761,0.302217993296223,0.259871951720071,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,1337,MaFaulDa,2060,121696480,0.43853538149293236,0.5924404570725315,0.5144760734012839,0.22202580139210704,0.464252150579937,0.4106964497922389,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,2026,HIT,280,8287960,0.5812216194642902,0.5815240467826027,0.597122756806395,0.35970300551169443,0.5933103575049111,0.5413455918909734,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,2026,JNU,24,1414560,0.641519963509158,0.6652465264760812,0.5999647078666729,0.10695189995257172,0.3374535236982574,0.29077715465847814,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
1,2026,MaFaulDa,2060,121690240,0.42595269990743795,0.5776189532448294,0.5070342541123063,0.2427249753172242,0.4839140880732901,0.4260497132549507,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,42,HIT,280,8297440,0.649993316269414,0.6399940167304494,0.6368164985143874,0.3207857074045678,0.5648720860970673,0.5366521094724147,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,42,JNU,24,1418160,0.6729881664939411,0.648471286689577,0.6177271394145708,0.110822686122241,0.3266545403201082,0.27918436149341314,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,42,MaFaulDa,2205,130254240,0.46387028818679854,0.5789815898925902,0.5225761038005495,0.25116542158485367,0.4895242354496784,0.436118743755392,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,1337,HIT,280,8292640,0.6487090961412249,0.6404008388701588,0.6361848154431896,0.3213071450787067,0.5653089042942983,0.5368119422044473,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,1337,JNU,24,1415520,0.6779223178417016,0.6578330657563304,0.619734001380164,0.1033149780384024,0.3237492434192127,0.274689619829345,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,1337,MaFaulDa,2205,130233840,0.4638951144264916,0.5785068988524839,0.5226239352799953,0.2515185221933701,0.4899166941984166,0.43630195425437185,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,2026,HIT,280,8295280,0.6485925250179622,0.6411345337972673,0.6361128379114489,0.3202534681767258,0.5643664808921718,0.5364876319983688,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,2026,JNU,24,1417560,0.6763911340094629,0.6555606275210861,0.6191557597694364,0.10572007786987668,0.3208766376260817,0.2756978297867493,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
2,2026,MaFaulDa,2205,130246440,0.4646462416890489,0.579075576481972,0.5229479764992597,0.25077786536042546,0.48925088666558925,0.43577639310124555,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,42,HIT,280,8300800,0.6137450415410733,0.5964399858283915,0.612668350222335,0.3510592804973957,0.5861438004654624,0.5416307358297288,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,42,JNU,24,1417560,0.6634234057093701,0.6686758545723267,0.607727846848113,0.08127742721045327,0.3137661110767351,0.2622764230580208,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,42,MaFaulDa,2225,131447920,0.47086753340900694,0.5823676396549237,0.5233536709359434,0.23882299030387416,0.47968350100145735,0.42612033874085253,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,1337,HIT,280,8295520,0.6112981535287773,0.5932074293412896,0.6117239280298504,0.35419173979943375,0.5885297347299047,0.5440816910835985,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,1337,JNU,24,1416600,0.6565054390914006,0.669550941601423,0.6070727420681137,0.08737382844759546,0.3182288562737326,0.2647001286722177,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,1337,MaFaulDa,2225,131419600,0.46588019422090154,0.5790828297753237,0.5217071011746749,0.2439806650584218,0.484517254243901,0.42976351175983324,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,2026,HIT,280,8291680,0.6131129435595554,0.5953196737939984,0.6133141138647691,0.351756457370643,0.5865792217168349,0.542185369298415,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,2026,JNU,24,1418160,0.6506979249630015,0.6689548290551207,0.6056662197957147,0.087582315583091,0.31558728916851003,0.26461679965520385,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
3,2026,MaFaulDa,2225,131421040,0.48422799871653166,0.5835336322154948,0.5283008808863866,0.23317826936586003,0.4792807806814971,0.42570430395081327,0,0,0,0,masked normalized log-STFT valid cells; window-first mean
