arm,fold,seed,dataset,macro_auc_ovr,weighted_auc_ovr,micro_auc_ovr,macro_auc_ovo,n
S0,1,42,JNU,1.0,1.0,1.0,1.0,24
S0,1,42,HIT,0.9925683815192743,0.9934576955782313,0.9850956632653061,0.9908322704081632,280
S0,1,42,MaFaulDa,0.9975635988234555,0.9973865763692792,0.9969253414788901,0.997732776433775,2235
S1,1,42,JNU,1.0,1.0,0.9994212962962964,1.0,24
S1,1,42,HIT,1.0,1.0,0.9999489795918368,1.0,280
S1,1,42,MaFaulDa,0.9847641432425872,0.9834093464685429,0.9809497959440154,0.9857061983432829,2235
S0,1,1337,JNU,1.0,1.0,0.998263888888889,1.0,24
S0,1,1337,HIT,0.9994331065759637,0.9993197278911564,0.9996492346938776,0.999468537414966,280
S0,1,1337,MaFaulDa,0.995329782355331,0.9949602061473605,0.9930397640858131,0.9957655933353223,2235
S1,1,1337,JNU,1.0,1.0,1.0,1.0,24
S1,1,1337,HIT,1.0,1.0,0.9982334183673469,1.0,280
S1,1,1337,MaFaulDa,0.9993587274181497,0.999394352780465,0.9977576363204638,0.9994002456423298,2235
S0,1,2026,JNU,1.0,1.0,1.0,1.0,24
S0,1,2026,HIT,1.0,1.0,0.9998979591836735,1.0,280
S0,1,2026,MaFaulDa,0.9696895906342613,0.9668049944787948,0.9725065548710129,0.9725758621850826,2235
S1,1,2026,JNU,1.0,1.0,1.0,1.0,24
S1,1,2026,HIT,1.0,1.0,0.9995982142857143,1.0,280
S1,1,2026,MaFaulDa,0.9938440964900291,0.9932635336536252,0.9901855939088495,0.9944431545957506,2235
S0,2,42,JNU,1.0,1.0,1.0,1.0,24
S0,2,42,HIT,1.0,1.0,1.0,1.0,280
S0,2,42,MaFaulDa,0.9582307903763851,0.9507735862293477,0.9561750218231699,0.9608114507572963,1980
S1,2,42,JNU,1.0,1.0,1.0,1.0,24
S1,2,42,HIT,1.0,1.0,1.0,1.0,280
S1,2,42,MaFaulDa,0.9873016602114442,0.9878286304900973,0.9850486770057478,0.9872622889728107,1980
S0,2,1337,JNU,1.0,1.0,1.0,1.0,24
S0,2,1337,HIT,1.0,1.0,0.9999808673469388,1.0,280
S0,2,1337,MaFaulDa,0.9715934733161238,0.97882818637424,0.9749453570497342,0.9714556807301614,1980
S1,2,1337,JNU,1.0,1.0,1.0,1.0,24
S1,2,1337,HIT,1.0,1.0,1.0,1.0,280
S1,2,1337,MaFaulDa,0.9824103610033121,0.9794648069907483,0.9708366634923875,0.9846689639989624,1980
S0,2,2026,JNU,1.0,1.0,1.0,1.0,24
S0,2,2026,HIT,1.0,1.0,0.9992665816326531,1.0,280
S0,2,2026,MaFaulDa,0.9668782879748195,0.9671141711997867,0.9652676172499405,0.9676000679126703,1980
S1,2,2026,JNU,1.0,1.0,1.0,1.0,24
S1,2,2026,HIT,1.0,1.0,0.9999936224489796,1.0,280
S1,2,2026,MaFaulDa,0.9919951158629805,0.9911773654647523,0.9749378181364714,0.9915275212818312,1980
S0,3,42,JNU,1.0,1.0,1.0,1.0,24
S0,3,42,HIT,1.0,1.0,1.0,1.0,280
S0,3,42,MaFaulDa,0.9959191221809229,0.9955814159643783,0.9900879257767317,0.9962841785225458,2030
S1,3,42,JNU,1.0,1.0,1.0,1.0,24
S1,3,42,HIT,1.0,1.0,0.9983545918367347,1.0,280
S1,3,42,MaFaulDa,0.982675320625205,0.9823180346171596,0.9827433058042876,0.9822645128440395,2030
S0,3,1337,JNU,1.0,1.0,1.0,1.0,24
S0,3,1337,HIT,1.0,1.0,1.0,1.0,280
S0,3,1337,MaFaulDa,0.9768682709753053,0.9757363640306327,0.9706886171035993,0.9801397947238366,2030
S1,3,1337,JNU,1.0,1.0,1.0,1.0,24
S1,3,1337,HIT,0.9970946712018142,0.9965136054421768,0.9952359693877552,0.9958811649659864,280
S1,3,1337,MaFaulDa,0.9902755660083342,0.9896094308340845,0.9840389909431866,0.991026145178915,2030
S0,3,2026,JNU,1.0,1.0,1.0,1.0,24
S0,3,2026,HIT,0.9999468537414966,0.999936224489796,0.9990178571428572,0.9999202806122449,280
S0,3,2026,MaFaulDa,0.9916513924843715,0.991320899466874,0.98786337127003,0.992153842605621,2030
S1,3,2026,JNU,1.0,1.0,0.9994212962962964,1.0,24
S1,3,2026,HIT,0.964436295351474,0.9573235544217688,0.9558482142857143,0.9660594706632653,280
S1,3,2026,MaFaulDa,0.974151333425537,0.9729880594882923,0.9722509645951127,0.9725585213535067,2030
